sample,universe,target,horizon,outcome,metric,n,spearman
TRAIN_2017_2022,KOSPI_ALL,FLOW,20,top,FH_A_HEALTHY_BREADTH,291,0.016510341584604887
TRAIN_2017_2022,KOSPI_ALL,FLOW,20,top,FH_B_NET_BREADTH,291,-0.014006971296682045
TRAIN_2017_2022,KOSPI_ALL,FLOW,20,top,FH_C_CONTINUOUS,291,-0.03196022381409211
TRAIN_2017_2022,KOSPI_ALL,FLOW,20,spread,FH_A_HEALTHY_BREADTH,291,0.04175419639143669
TRAIN_2017_2022,KOSPI_ALL,FLOW,20,spread,FH_B_NET_BREADTH,291,0.14061372676237655
TRAIN_2017_2022,KOSPI_ALL,FLOW,20,spread,FH_C_CONTINUOUS,291,0.11847732397041136
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,5,top,FH_A_HEALTHY_BREADTH,291,0.04593645019590954
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,5,top,FH_B_NET_BREADTH,291,0.04553228325813702
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,5,top,FH_C_CONTINUOUS,291,0.021514105254956197
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,5,spread,FH_A_HEALTHY_BREADTH,291,0.04107334027944305
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,5,spread,FH_B_NET_BREADTH,291,0.06167851865757136
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,5,spread,FH_C_CONTINUOUS,291,0.013078222927796094
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,20,top,FH_A_HEALTHY_BREADTH,291,-0.006721678367478991
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,20,top,FH_B_NET_BREADTH,291,-0.034293276487263234
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,20,top,FH_C_CONTINUOUS,291,-0.03981806582939289
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,20,spread,FH_A_HEALTHY_BREADTH,291,0.07688873299434164
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,20,spread,FH_B_NET_BREADTH,291,0.11037367393883019
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,20,spread,FH_C_CONTINUOUS,291,0.14067855212345814
TRAIN_2017_2022,KOSPI_ALL,REVISION,5,top,FH_A_HEALTHY_BREADTH,291,0.075622895618818
TRAIN_2017_2022,KOSPI_ALL,REVISION,5,top,FH_B_NET_BREADTH,291,0.08293236437502233
TRAIN_2017_2022,KOSPI_ALL,REVISION,5,top,FH_C_CONTINUOUS,291,0.05518117935806847
TRAIN_2017_2022,KOSPI_ALL,REVISION,5,spread,FH_A_HEALTHY_BREADTH,291,0.033210802458773614
TRAIN_2017_2022,KOSPI_ALL,REVISION,5,spread,FH_B_NET_BREADTH,291,0.05295944311956488
TRAIN_2017_2022,KOSPI_ALL,REVISION,5,spread,FH_C_CONTINUOUS,291,0.1045269273285967
TRAIN_2017_2022,KOSPI_ALL,REVISION,20,top,FH_A_HEALTHY_BREADTH,291,0.07072097628376796
TRAIN_2017_2022,KOSPI_ALL,REVISION,20,top,FH_B_NET_BREADTH,291,0.040347201546076114
TRAIN_2017_2022,KOSPI_ALL,REVISION,20,top,FH_C_CONTINUOUS,291,0.002361832782239018
