factor,source,destination,period,n,source_local_to_destination_local_next5_ic
MOM12_1,KOSPI_ALL,KOSPI_EX_K200,CONF_2023_2024,97,0.06957447927624656
MOM12_1,KOSPI_ALL,KOSPI_EX_K200,STRESS_2025,49,0.11418367346938775
MOM12_1,KOSPI_ALL,KOSPI_EX_K200,STRESS_2026,29,-0.10295566502463052
MOM12_1,KOSPI_ALL,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.020616091349492344
MOM12_1,KOSPI_ALL,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,-0.0337021585343733
MOM12_1,KOSPI_ALL,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.03613507258573532
MOM12_1,KOSPI_ALL,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.004897959183673469
MOM12_1,KOSPI_ALL,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.1733990147783251
MOM12_1,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.02621079577438746
MOM12_1,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,0.019949210955922368
MOM12_1,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.043932779297285916
MOM12_1,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.2451020408163265
MOM12_1,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,0.04581280788177339
MOM12_1,KOSPI_KOSDAQ_ALL,K200,DISC_2016_2019,194,0.04804230543240211
MOM12_1,KOSPI_KOSDAQ_ALL,K200,VAL_2020_2022,149,0.051590785416288774
MOM12_1,KOSPI_KOSDAQ_ALL,K200,CONF_2023_2024,97,0.020263517778245314
MOM12_1,KOSPI_KOSDAQ_ALL,K200,STRESS_2025,49,0.22061224489795916
MOM12_1,KOSPI_KOSDAQ_ALL,K200,STRESS_2026,29,0.3561576354679802
MOM12_1,KOSPI_KOSDAQ_ALL,KOSDAQ,DISC_2016_2019,194,-0.19505450481359887
MOM12_1,KOSPI_KOSDAQ_ALL,KOSDAQ,VAL_2020_2022,149,-0.0664538363867223
MOM12_1,KOSPI_KOSDAQ_ALL,KOSDAQ,CONF_2023_2024,97,0.0352934988428361
MOM12_1,KOSPI_KOSDAQ_ALL,KOSDAQ,STRESS_2025,49,-0.3194897959183673
MOM12_1,KOSPI_KOSDAQ_ALL,KOSDAQ,STRESS_2026,29,-0.3527093596059112
MOM12_1,KOSPI_KOSDAQ_ALL,KOSPI_EX_K200,DISC_2016_2019,194,0.09932654813804326
MOM12_1,KOSPI_KOSDAQ_ALL,KOSPI_EX_K200,VAL_2020_2022,149,-0.0029784146562670056
