date,factor,period,common,z_K200,local_K200,z_KOSDAQ,local_KOSDAQ,z_KOSPI_EX_K200,local_KOSPI_EX_K200,z_KOSPI_ALL,local_KOSPI_ALL,z_KOSPI_KOSDAQ_ALL,local_KOSPI_KOSDAQ_ALL,z_KOSDAQ_PLUS_KOSPI_EX_K200,local_KOSDAQ_PLUS_KOSPI_EX_K200
2020-12-14,MOM1M,VAL_2020_2022,-0.6033276584713488,0.17898919632645713,0.782316854797806,-1.6197585229172764,-1.0164308644459275,-0.14280567939644126,0.46052197907490755,0.07268139836329661,0.6760090568346454,-0.9111213409394301,-0.30779368246808125,-1.1979510022646995,-0.5946233437933507
2020-12-21,MOM1M,VAL_2020_2022,1.3915791922021954,2.225159503804866,0.8335803116026705,0.43045499843085594,-0.9611241937713395,1.2584747795260638,-0.1331044126761316,1.9425513190766248,0.5509721268744294,1.4351950922359913,0.043615900033795896,1.057639460138769,-0.3339397320634263
2020-12-29,MOM1M,VAL_2020_2022,0.11700493499748417,-0.6362913385714564,-0.7532962735689406,1.0574419701761508,0.9404370351786666,-0.38827142696160144,-0.5052763619590857,-0.41602497623332707,-0.5330299112308112,0.37716482739684615,0.260159892399362,0.708010554178293,0.5910056191808087
2021-01-07,MOM1M,VAL_2020_2022,2.0840001814911853,2.5559883307637885,0.47198814927260324,1.9129637951876028,-0.17103638630358242,1.5522701434654054,-0.5317300380257799,2.3547203485472754,0.27072016705609014,2.2698986093137106,0.1858984278225253,1.858159861669331,-0.22584031982185437
2021-01-14,MOM1M,VAL_2020_2022,-0.42920417948638695,-0.43235397405840514,-0.003149794572018194,0.09772846166191529,0.5269326411483022,-0.8837717033022424,-0.45456752381585547,-0.6753445715291169,-0.24614039204272992,-0.4358508467445825,-0.006646667258195571,-0.24563244294588968,0.18357173654049727
2021-01-21,MOM1M,VAL_2020_2022,2.5407423464859327,2.5318112326408335,-0.008931113845099148,2.0686063136160393,-0.47213603286989336,2.1211998402718057,-0.4195425062141269,2.898057870275518,0.3573155237895853,3.0073219079023024,0.4665795614163697,2.617456914209098,0.07671456772316532
2021-01-28,MOM1M,VAL_2020_2022,0.6461814982771484,1.060271200267649,0.41408970199050066,-0.19913490032189426,-0.8453163985990427,1.078458435742912,0.43227693746576346,1.1485375633996493,0.5023560651225009,0.47860828798116467,-0.16757321029598377,0.31034840259341034,-0.3358330956837381
2021-02-04,MOM1M,VAL_2020_2022,1.1842778280732125,1.5575874853746658,0.3733096573014534,0.5490049485619355,-0.635272879511277,1.4006605263447445,0.216382698271532,1.577193625320825,0.3929157972476125,1.0629776237849589,-0.12130020428825361,0.9582427590521448,-0.22603506902106762
2021-02-15,MOM1M,VAL_2020_2022,-0.7223027990194645,-1.5370724217960365,-0.8147696227765721,0.2060276428009823,0.9283304418204468,-1.1385575203651481,-0.41625472134568364,-1.4889089690886608,-0.7666061700691963,-0.25592992064727427,0.4663728783721902,-0.11937560502064909,0.6029271939988154
2021-02-22,MOM1M,VAL_2020_2022,0.19426348734501522,0.6988778656203888,0.5046143782753736,0.41616766253762644,0.2219041751926112,-0.4813864377502032,-0.6756499250952184,-0.22517959930813902,-0.4194430866531542,0.46765611299854865,0.2733926256535334,0.28944531997186973,0.0951818326268545
