metric,strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
ACT1,LOW20,K200,20,BULL_2025,12,-0.0013390252181644455,0.052604166666666674,-0.0013390252181644455,-0.0014968377181644457,-0.0016546502181644454
ACT1,LOW20,K200,20,EARLY_2016_2019,48,-0.0009312495219062516,0.09140624999999998,-0.0009312495219062516,-0.0012054682719062513,-0.0014796870219062515
ACT1,LOW20,K200,20,LATE_2020_2022,38,0.0002592488680711784,0.07072368421052631,0.0002592488680711784,4.707781543959987e-05,-0.00016509323719197935
ACT1,LOW20,K200,20,NORMAL_2023_2024,24,-0.0007395395747300887,0.06145833333333334,-0.0007395395747300887,-0.000923914574730089,-0.0011082895747300885
ACT1,LOW20,K200,20,YTD_2026,6,0.004594852621625113,0.05729166666666668,0.004594852621625113,0.004422977621625113,0.004251102621625113
ACT1,LOW20,KOSDAQ,5,BULL_2025,49,0.00038952171702263694,0.03698979591836734,0.00038952171702263694,0.000278552329267535,0.0001675829415124328
ACT1,LOW20,KOSDAQ,5,EARLY_2016_2019,193,0.0003255301031559999,0.04384715025906735,0.0003255301031559999,0.00019398865237879787,6.244720160159579e-05
ACT1,LOW20,KOSDAQ,5,LATE_2020_2022,149,-0.0004106121436081035,0.043750000000000004,-0.0004106121436081035,-0.0005418621436081035,-0.0006731121436081035
ACT1,LOW20,KOSDAQ,5,NORMAL_2023_2024,97,0.0009749616984936763,0.034342783505154635,0.0009749616984936763,0.0008719333479782121,0.0007689049974627484
ACT1,LOW20,KOSDAQ,5,YTD_2026,28,0.00025944688629321106,0.040848214285714286,0.00025944688629321106,0.00013690224343606815,1.4357600578925565e-05
ACT1,LOW20,KOSDAQ,20,BULL_2025,12,0.0027569463693961974,0.014583333333333339,0.0027569463693961974,0.0027131963693961983,0.002669446369396198
ACT1,LOW20,KOSDAQ,20,EARLY_2016_2019,48,0.0005522380076431209,0.026432291666666663,0.0005522380076431209,0.00047294113264312077,0.00039364425764312083
ACT1,LOW20,KOSDAQ,20,LATE_2020_2022,38,0.0017441641202161266,0.013651315789473685,0.0017441641202161266,0.0017032101728477055,0.0016622562254792845
ACT1,LOW20,KOSDAQ,20,NORMAL_2023_2024,24,-0.000833537081249996,0.009635416666666669,-0.000833537081249996,-0.0008624433312499961,-0.0008913495812499958
ACT1,LOW20,KOSDAQ,20,YTD_2026,6,0.007264240951008162,0.017708333333333322,0.007264240951008162,0.007211115951008161,0.007157990951008161
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,0.00025078037489227806,0.037372448979591834,0.00025078037489227806,0.00013866302795350247,2.654568101472686e-05
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,193,0.0005977559951171862,0.0501619170984456,0.0005977559951171862,0.0004472702438218494,0.00029678449252651265
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-0.0002684758064446537,0.03930369127516778,-0.0002684758064446537,-0.000386386880270157,-0.0005042979540956603
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.001500939250963215,0.042139175257731955,0.001500939250963215,0.0013745217251900194,0.0012481041994168239
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,0.0010469359492974596,0.05357142857142858,0.0010469359492974596,0.0008862216635831743,0.0007255073778688883
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,12,0.00038422420063614947,0.013541666666666665,0.00038422420063614947,0.00034359920063614945,0.0003029742006361498
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,48,0.0020208918923842072,0.027734375000000002,0.0020208918923842072,0.0019376887673842075,0.0018544856423842078
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,38,0.0009048908963182147,0.016940789473684208,0.0009048908963182147,0.0008540685278971619,0.0008032461594761094
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.0008036389608922531,0.016666666666666666,0.0008036389608922531,0.0007536389608922534,0.0007036389608922532
ACT1,LOW20,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,6,0.0066895772777698995,0.02604166666666667,0.0066895772777698995,0.0066114522777699,0.0065333272777699
ACT1,LOW20,KOSPI_ALL,5,BULL_2025,49,0.00022912299959955364,0.05612244897959184,0.00022912299959955364,6.0755652660778026e-05,-0.00010761169427799745
ACT1,LOW20,KOSPI_ALL,5,EARLY_2016_2019,193,0.0001279676327313229,0.060751295336787574,0.0001279676327313229,-5.428625327903981e-05,-0.00023654013928940256
