universe,strategy,factor,family,phase,period,zero_fill_cagr,zero_fill_sharpe,legacy_cagr,legacy_sharpe,mean_legacy_minus_zero,mean_complete_names,n_periods
K200,PRIMARY8,PRIVATE_FLOW,FLOW,1,EARLY_2016_2019,-0.04761687860235764,-0.24297199663504737,-0.04761687860235797,-0.2429719966350488,-7.731025287070107e-18,20.0,98
K200,PRIMARY8,PRIVATE_FLOW,FLOW,1,LATE_2020_2022,0.1519835322209715,0.6808938859030573,0.15198353222097127,0.6808938859030563,-1.1290353974558509e-17,20.0,74
K200,PRIMARY8,PRIVATE_FLOW,FLOW,1,NORMAL_2023_2024,0.10598324703344786,0.673598587533508,0.10598324703344741,0.6735985875335042,-2.4549434905564635e-17,20.0,49
K200,PRIMARY8,PRIVATE_FLOW,FLOW,1,BULL_2025,0.6023483965745922,2.07909241314204,0.6023483965745913,2.0790924131420367,-2.0192181260370036e-17,20.0,25
K200,PRIMARY8,PRIVATE_FLOW,FLOW,1,YTD_2026,-0.005469640766031625,0.21327205672128594,-0.005469640766032291,0.21327205672128494,-1.7880995829299397e-17,20.0,13
K200,PRIMARY8,PRIVATE_FLOW,FLOW,2,FULL_2016_2026,0.09751623078923788,0.502680678221853,0.09751623078923766,0.5026806782218515,-1.3825880059015923e-17,20.0,259
K200,PRIMARY8,PRIVATE_FLOW,FLOW,2,PRE_STRESS_2016_2024,0.04378474791106579,0.30520673010356875,0.04378474791106535,0.3052067301035672,-1.3253758322112393e-17,20.0,221
K200,PRIMARY8,PRIVATE_FLOW,FLOW,2,EARLY_2016_2019,-0.035498055608110146,-0.151707015478541,-0.0354980556081107,-0.15170701547854362,-1.609514719985943e-17,20.0,98
K200,PRIMARY8,PRIVATE_FLOW,FLOW,2,LATE_2020_2022,0.13323243002495722,0.566535976347997,0.13323243002495677,0.5665359763479964,-8.889725245345673e-18,20.0,74
K200,PRIMARY8,PRIVATE_FLOW,FLOW,2,NORMAL_2023_2024,0.07969274966317763,0.48335392146732903,0.07969274966317674,0.48335392146732714,-1.4161561131531326e-17,20.0,49
K200,PRIMARY8,PRIVATE_FLOW,FLOW,2,BULL_2025,0.3543282595368429,1.3061481306251221,0.35432825953684133,1.3061481306251201,-1.920844848920152e-17,20.0,24
K200,PRIMARY8,PRIVATE_FLOW,FLOW,2,YTD_2026,0.6904528051046304,1.3657980639115064,0.6904528051046299,1.3657980639115057,-1.3629970168389198e-17,20.0,14
K200,PRIMARY8,PRIVATE_FLOW,FLOW,3,FULL_2016_2026,0.1126374628899971,0.5691374289967127,0.11263746288999665,0.569137428996711,-1.420158332148918e-17,20.0,259
K200,PRIMARY8,PRIVATE_FLOW,FLOW,3,PRE_STRESS_2016_2024,0.03162563636422511,0.2564277091098439,0.03162563636422466,0.25642770910984225,-1.421482260079977e-17,20.0,221
K200,PRIMARY8,PRIVATE_FLOW,FLOW,3,EARLY_2016_2019,-0.041776050115845065,-0.22664688428293334,-0.04177605011584529,-0.22664688428293614,-1.6806240002272753e-17,20.0,98
K200,PRIMARY8,PRIVATE_FLOW,FLOW,3,LATE_2020_2022,0.06805352299590606,0.38112562930492977,0.06805352299590584,0.3811256293049292,-4.1580618452890025e-18,20.0,74
K200,PRIMARY8,PRIVATE_FLOW,FLOW,3,NORMAL_2023_2024,0.13467690204874572,0.7588819513956132,0.13467690204874527,0.75888195139561,-2.4219748938829248e-17,20.0,49
