date,universe,eligible_n,mom_n,rev_n,mom_rev_overlap_n,mom_rev_overlap_share_mom
2018-04-23,K200,193,37,33,9,0.24324324324324326
2018-04-23,KOSPI_EX_K200,177,33,17,5,0.15151515151515152
2018-04-23,KOSPI_ALL,370,71,50,18,0.2535211267605634
2018-04-23,KOSDAQ,232,43,24,7,0.16279069767441862
2018-04-23,KOSPI_KOSDAQ_ALL,602,114,74,26,0.22807017543859648
2018-04-23,KOSDAQ_PLUS_KOSPI_EX_K200,409,76,41,14,0.18421052631578946
2018-04-30,K200,193,37,33,15,0.40540540540540543
2018-04-30,KOSPI_EX_K200,180,34,17,4,0.11764705882352941
2018-04-30,KOSPI_ALL,373,71,51,16,0.22535211267605634
2018-04-30,KOSDAQ,232,43,24,8,0.18604651162790697
2018-04-30,KOSPI_KOSDAQ_ALL,605,115,75,24,0.20869565217391303
2018-04-30,KOSDAQ_PLUS_KOSPI_EX_K200,412,77,42,13,0.16883116883116883
2018-05-09,K200,193,37,33,13,0.35135135135135137
2018-05-09,KOSPI_EX_K200,176,33,18,3,0.09090909090909091
2018-05-09,KOSPI_ALL,369,70,52,15,0.21428571428571427
2018-05-09,KOSDAQ,223,42,24,13,0.30952380952380953
2018-05-09,KOSPI_KOSDAQ_ALL,592,112,76,26,0.23214285714285715
2018-05-09,KOSDAQ_PLUS_KOSPI_EX_K200,399,75,43,15,0.2
2018-05-16,K200,193,38,33,19,0.5
2018-05-16,KOSPI_EX_K200,181,34,18,4,0.11764705882352941
2018-05-16,KOSPI_ALL,374,72,51,21,0.2916666666666667
2018-05-16,KOSDAQ,226,42,25,13,0.30952380952380953
2018-05-16,KOSPI_KOSDAQ_ALL,600,115,77,35,0.30434782608695654
2018-05-16,KOSDAQ_PLUS_KOSPI_EX_K200,407,77,43,16,0.2077922077922078
2018-05-24,K200,193,38,34,16,0.42105263157894735
