sample,factor_universe,market_target,horizon,support_state,leader_strength_cut,support_cut,n_high,n_low,high_support_mean,low_support_mean,high_minus_low,diff_tstat,high_positive_share,low_positive_share
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,-0.0019090576787940776,-0.017245851895085283,0.015336794216291206,1.0212342486127006,0.5555555555555556,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.0030185714358641085,-0.02994150072460747,0.02692292928874336,1.3427680927386534,0.4166666666666667,0.3333333333333333
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.030084806718542148,-0.045714700795239156,0.07579950751378131,2.6461978476648373,0.7777777777777778,0.36363636363636365
TRAIN,KOSPI_EX_K200,K200,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,0.0015518699092854549,0.0018458638852585842,-0.00029399397597312934,-0.08883416467029284,0.7058823529411765,0.6
OOS,KOSPI_EX_K200,K200,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,14,-0.021780881922480375,-0.005144473692202665,-0.016636408230277712,-0.7854250699743853,0.7142857142857143,0.42857142857142855
TRAIN,KOSPI_EX_K200,K200,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,0.0016582169697647907,0.0001534180658414784,0.0015047989039233124,0.14497753632493138,0.4117647058823529,0.7
OOS,KOSPI_EX_K200,K200,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,0.002830618128598427,-0.014154437809271366,0.016985055937869795,0.9930531399485545,0.5714285714285714,0.46153846153846156
TRAIN,KOSPI_EX_K200,K200,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.004166343577656977,-0.010978041309170367,0.00681169773151339,0.45580137533969856,0.35294117647058826,0.4
OOS,KOSPI_EX_K200,K200,20,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,13,0.026865843312577582,-0.0033868880211108377,0.03025273133368842,0.7214771822206346,0.7142857142857143,0.5384615384615384
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,-0.0010408096751475674,0.0033806648348577418,-0.004421474510005309,-1.1088164376198246,0.47058823529411764,0.6
OOS,KOSPI_EX_K200,KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,7,14,-0.02137410969390665,-0.001157102745272541,-0.020217006948634108,-1.1570751117772695,0.2857142857142857,0.5714285714285714
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_4P,0.1337148920604066,0.5714285714285714,17,10,0.00046958603382161166,-0.00412206336372653,0.004591649397548142,0.32119346765306084,0.4117647058823529,0.5
