universe,sample,factor_a,factor_b,corr
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,OPFY1_REV,0.6384262917283162
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,PBR12MF,-0.2172856332601224
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,PER12MF,-0.17594817617187664
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,PRIVATE_FLOW,0.04158330143912069
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,FOREIGN_FLOW,0.0938595857096514
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,MOM12_1,0.19753816654431713
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,MOM1M,0.17171821018488656
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,OP12_REV,0.6384262917283162
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,OPFY1_REV,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,PBR12MF,-0.07149623293429325
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,PER12MF,-0.014441746677291818
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OPFY1_REV,PRIVATE_FLOW,0.014329765174889176
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,FOREIGN_FLOW,-0.04473950181204059
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,MOM12_1,-0.43363083289780374
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,MOM1M,-0.03713910742976343
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,OP12_REV,-0.2172856332601224
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,OPFY1_REV,-0.07149623293429325
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,PBR12MF,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,PER12MF,0.7882021995701778
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PBR12MF,PRIVATE_FLOW,0.16572999704505845
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,PER12MF,FOREIGN_FLOW,-0.09126820948902528
