sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
OOS,KOSPI_EX_K200,KOSPI_EX_K200,20,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,70,0.007730773170032772,0.008524301237168326,0.6,0.9832225957144503
OOS,KOSPI_EX_K200,KOSPI_EX_K200,20,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,47,0.013229700104988433,0.012748020747062997,0.6382978723404256,1.9719815634265558
OOS,KOSPI_EX_K200,KOSPI_EX_K200,20,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,54,0.010903375151122576,-2.5807140630718258e-05,0.5,1.1713521070032282
TRAIN,KOSPI_EX_K200,KOSPI_ALL,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,0.0001726242711147054,0.001218783154284183,0.5514018691588785,0.19580400457283811
TRAIN,KOSPI_EX_K200,KOSPI_ALL,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.0006220586275977615,-7.550791211137079e-05,0.49523809523809526,0.5989749533337374
TRAIN,KOSPI_EX_K200,KOSPI_ALL,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,-0.001003955992350389,8.671652782607835e-05,0.5092592592592593,-1.0164991137154882
OOS,KOSPI_EX_K200,KOSPI_ALL,1,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,0.003089963115419322,0.004049726549935869,0.5774647887323944,1.029981452281313
OOS,KOSPI_EX_K200,KOSPI_ALL,1,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,48,0.0016421461181761806,0.0022816647419154953,0.625,0.7405942944853331
OOS,KOSPI_EX_K200,KOSPI_ALL,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,55,-0.0013861379265086664,0.0002821494321902733,0.509090909090909,-0.45289880351332934
TRAIN,KOSPI_EX_K200,KOSPI_ALL,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-4.134509233911157e-05,0.0013425831929029537,0.5233644859813084,-0.017312180486612
TRAIN,KOSPI_EX_K200,KOSPI_ALL,5,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.002290604678092165,0.0029236041658655364,0.6,1.111947158184771
TRAIN,KOSPI_EX_K200,KOSPI_ALL,5,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,-0.0016553300079863308,0.0014326522005853252,0.5185185185185185,-0.6848003123499888
OOS,KOSPI_EX_K200,KOSPI_ALL,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,0.0019280088418172393,0.0053720209024344144,0.5774647887323944,0.34724502037754074
OOS,KOSPI_EX_K200,KOSPI_ALL,5,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,48,0.001734131601879637,0.0025235817924614337,0.5208333333333334,0.524677278654727
OOS,KOSPI_EX_K200,KOSPI_ALL,5,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,55,0.017090282120959917,0.011508893600489525,0.6363636363636364,3.50839145617273
TRAIN,KOSPI_EX_K200,KOSPI_ALL,20,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-0.0024505923503151845,0.004264260321734783,0.5327102803738317,-0.4949231626812228
TRAIN,KOSPI_EX_K200,KOSPI_ALL,20,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.006235274063414792,0.009160270801329968,0.5904761904761905,1.1491886271976934
TRAIN,KOSPI_EX_K200,KOSPI_ALL,20,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,0.0003041685098505927,0.0013008936659287193,0.5092592592592593,0.06838804642261702
OOS,KOSPI_EX_K200,KOSPI_ALL,20,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,70,0.01635670368335193,0.014872710399626952,0.6285714285714286,1.4069825407385097
OOS,KOSPI_EX_K200,KOSPI_ALL,20,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,47,0.02091427744095231,0.02686250736008574,0.6595744680851063,2.489002695716978
