universe,task,horizon,period,model,delta_edge_vs_control,delta_sign_accuracy,delta_rank_ic,delta_mdd
KOSDAQ,ALPHA,20,YTD_2026,FULL,-0.008444116050045402,-0.3076923076923077,0.3956043956043956,-0.007529306247900602
KOSDAQ,RISK,5,BULL_2025,FACTOR_ONLY,0.0002779237714762243,-0.0444444444444444,-0.00632411067193675,0.009494610631244016
KOSDAQ,RISK,5,BULL_2025,FULL,0.0005991327133693359,-0.0222222222222222,0.02661396574440053,-0.0063699005689543675
KOSDAQ,RISK,5,DISCOVERY_2016_2022,FACTOR_ONLY,0.00031538794108975786,-0.0707964601769911,-0.12896732982899728,0.09554044437596665
KOSDAQ,RISK,5,DISCOVERY_2016_2022,FULL,-0.0013624113515924097,-0.10619469026548667,-0.053771042650874984,-0.06009536234801949
KOSDAQ,RISK,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0006519623003936043,0.027397260273972657,-0.012649635937307169,-0.005832832390144094
KOSDAQ,RISK,5,NORMAL_2023_2024,FULL,0.0006084037983137818,0.027397260273972657,0.04087992101690733,0.032408365465990574
KOSDAQ,RISK,5,YTD_2026,FACTOR_ONLY,-0.01813257087000934,0.0,-0.7142857142857142,0.007332502361874771
KOSDAQ,RISK,5,YTD_2026,FULL,-0.015157649576283032,-0.07692307692307693,-0.25274725274725274,0.006087684447524722
KOSDAQ,RISK,20,BULL_2025,FACTOR_ONLY,0.00022543876893903886,-0.08888888888888885,0.1795783926218709,0.1850827533581636
KOSDAQ,RISK,20,BULL_2025,FULL,0.0028413201286588592,0.0,0.20329380764163368,0.1850827533581635
KOSDAQ,RISK,20,DISCOVERY_2016_2022,FACTOR_ONLY,-0.0008534921670687193,-0.04424778761061948,-0.10973784017566046,0.06671839416282055
KOSDAQ,RISK,20,DISCOVERY_2016_2022,FULL,-0.0012598065775084601,-0.008849557522123908,-0.06969858274003596,0.02082102189731161
KOSDAQ,RISK,20,NORMAL_2023_2024,FACTOR_ONLY,-0.003974058864963522,-0.08219178082191786,-0.22164630383808467,-0.1391799290886725
KOSDAQ,RISK,20,NORMAL_2023_2024,FULL,-0.003957909733873936,-0.08219178082191786,-0.21664815500431941,-0.15561198860640146
KOSDAQ,RISK,20,YTD_2026,FACTOR_ONLY,0.006698401566305963,0.07692307692307687,0.5274725274725274,0.37635137019116305
KOSDAQ,RISK,20,YTD_2026,FULL,-0.009817796116666083,0.0,0.3076923076923077,0.3744540433661485
