strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
VETO_LOW10,KOSPI_ALL,5,YTD_2026,28,0.0002802862704128109,0.021875000000000012,0.0002802862704128109,0.0002146612704128108,0.0001490362704128109
VETO_LOW10,KOSPI_ALL,10,BULL_2025,25,0.0004974651338647407,0.010250000000000002,0.0004974651338647407,0.00046671513386474067,0.00043596513386474065
VETO_LOW10,KOSPI_ALL,10,EARLY_2016_2019,96,0.0002574962962153445,0.019661458333333336,0.0002574962962153445,0.00019851192121534442,0.00013952754621534454
VETO_LOW10,KOSPI_ALL,10,LATE_2020_2022,75,-0.0009075659156894052,0.011750000000000003,-0.0009075659156894052,-0.0009428159156894052,-0.0009780659156894056
VETO_LOW10,KOSPI_ALL,10,NORMAL_2023_2024,48,-9.299432397891773e-05,0.01302083333333334,-9.299432397891773e-05,-0.00013205682397891784,-0.00017111932397891774
VETO_LOW10,KOSPI_ALL,10,YTD_2026,13,0.0018711723605882317,0.023076923076923068,0.0018711723605882317,0.0018019415913574624,0.001732710822126693
VETO_LOW10,KOSPI_ALL,20,BULL_2025,12,0.0016438164804797007,0.00416666666666668,0.0016438164804797007,0.0016313164804797008,0.0016188164804797006
VETO_LOW10,KOSPI_ALL,20,EARLY_2016_2019,48,0.0005237508611207639,0.013802083333333326,0.0005237508611207639,0.0004823446111207641,0.00044093836112076403
VETO_LOW10,KOSPI_ALL,20,LATE_2020_2022,38,-0.00022195136117662836,0.00444078947368421,-0.00022195136117662836,-0.000235273729597681,-0.00024859609801873366
VETO_LOW10,KOSPI_ALL,20,NORMAL_2023_2024,24,-0.00011069011661790315,0.007552083333333348,-0.00011069011661790315,-0.00013334636661790304,-0.00015600261661790328
VETO_LOW10,KOSPI_ALL,20,YTD_2026,6,0.004421309417411903,0.013541666666666638,0.004421309417411903,0.004380684417411903,0.004340059417411904
VETO_LOW10,KOSPI_EX_K200,5,BULL_2025,49,-3.274869727426776e-05,0.01913265306122449,-3.274869727426776e-05,-9.014665645794118e-05,-0.00014754461564161464
VETO_LOW10,KOSPI_EX_K200,5,EARLY_2016_2019,192,0.00020806712676583238,0.01936848958333333,0.00020806712676583238,0.00014996165801583238,9.185618926583241e-05
VETO_LOW10,KOSPI_EX_K200,5,LATE_2020_2022,149,0.000214644972027181,0.012499999999999999,0.000214644972027181,0.00017714497202718109,0.00013964497202718102
VETO_LOW10,KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0005082194916980503,0.015786082474226804,0.0005082194916980503,0.00046086124427536997,0.00041350299685268953
VETO_LOW10,KOSPI_EX_K200,5,YTD_2026,28,0.0003292132906772033,0.018526785714285707,0.0003292132906772033,0.0002736329335343461,0.000218052576391489
VETO_LOW10,KOSPI_EX_K200,10,BULL_2025,25,0.00033791917619589983,0.02125,0.00033791917619589983,0.0002741691761958999,0.0002104191761958998
VETO_LOW10,KOSPI_EX_K200,10,EARLY_2016_2019,96,0.0005282196659597554,0.021679687500000003,0.0005282196659597554,0.00046318060345975536,0.00039814154095975537
VETO_LOW10,KOSPI_EX_K200,10,LATE_2020_2022,75,0.0003094342111236754,0.015583333333333333,0.0003094342111236754,0.00026268421112367546,0.00021593421112367544
VETO_LOW10,KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.0001763079903040368,0.012109375,0.0001763079903040368,0.00013997986530403704,0.00010365174030403685
VETO_LOW10,KOSPI_EX_K200,10,YTD_2026,13,0.003106711175320599,0.01778846153846153,0.003106711175320599,0.003053345790705215,0.00299998040608983
VETO_LOW10,KOSPI_EX_K200,20,BULL_2025,12,0.0007664321640305956,0.00833333333333334,0.0007664321640305956,0.0007414321640305956,0.0007164321640305956
