low_cut,universe,horizon,sample,combo_net30,top1_only_net30,low_only_net30,combo_minus_best_component
0.1,K200,10,NORMAL_2023_2024,0.0008599512795165938,0.00029045652978857203,0.0005945092175894468,0.00026544206192714696
0.1,K200,10,BULL_2025,-0.0006716756650743513,0.0006773122748832167,-0.0008665170020242941,-0.001348987939957568
0.1,K200,10,YTD_2026,0.0033578011701675386,-9.06778201618135e-05,0.002672895028010005,0.0006849061421575335
0.1,K200,20,EARLY_2016_2019,-0.0008608047571950655,0.00025887267942334516,-0.0008075149887614514,-0.0011196774366184106
0.1,K200,20,LATE_2020_2022,-0.002628993665453582,-0.0008719729474730306,-0.0014292283835418962,-0.0017570207179805515
0.1,K200,20,NORMAL_2023_2024,-0.00020488666205935435,0.0004758976947526222,-0.0011665324656084611,-0.0006807843568119766
0.1,K200,20,BULL_2025,-0.00268051747992288,-0.0005565308018096478,-0.002226653379594641,-0.0021239866781132322
0.1,K200,20,YTD_2026,0.008081037525985874,-0.0013652664850916216,0.007507557206613732,0.0005734803193721419
0.1,KOSPI_EX_K200,5,EARLY_2016_2019,0.00014519856354895035,1.4499351541277485e-05,0.00014996165801583238,-4.7630944668820385e-06
0.1,KOSPI_EX_K200,5,LATE_2020_2022,0.00017866404727966628,9.156908148831565e-05,0.00017714497202718109,1.519075252485189e-06
