universe,predictor,target,era,n,discovery_ic,direction,raw_ic,directed_ic,frozen_q1,frozen_q2,directed_high_low,n_low,n_high
K200,current_cross_universe_coherence,future_dispersion20,CONFIRM_2023_2024,97,0.07477403474674588,1,0.023347951326057163,0.023347951326057163,0.5952380952380953,0.7619047619047621,0.0005869320434944633,46,34
K200,current_cross_universe_coherence,future_dispersion20,STRESS_2025,49,0.07477403474674588,1,-0.0839740051453174,-0.0839740051453174,0.5952380952380953,0.7619047619047621,-0.0053508835210581,19,21
K200,current_cross_universe_coherence,future_dispersion20,STRESS_2026,25,0.07477403474674588,1,-0.16242361313062006,-0.16242361313062006,0.5952380952380953,0.7619047619047621,-0.01598950283059579,10,12
KOSDAQ,dispersion20,future_dispersion20,DISCOVERY_2016_2019,184,0.12773593265396543,1,0.12773593265396543,0.12773593265396543,0.0385251333655798,0.0538189723813498,0.004790140817540985,62,62
KOSDAQ,dispersion20,future_dispersion20,VALIDATION_2020_2022,149,0.12773593265396543,1,0.20306185380010883,0.20306185380010883,0.0385251333655798,0.0538189723813498,0.00930995492495608,61,35
KOSDAQ,dispersion20,future_dispersion20,CONFIRM_2023_2024,97,0.12773593265396543,1,0.06852251209762254,0.06852251209762254,0.0385251333655798,0.0538189723813498,0.0010321968460583822,31,34
KOSDAQ,dispersion20,future_dispersion20,STRESS_2025,49,0.12773593265396543,1,0.24499999999999994,0.24499999999999994,0.0385251333655798,0.0538189723813498,0.01217995439357912,9,22
KOSDAQ,dispersion20,future_dispersion20,STRESS_2026,25,0.12773593265396543,1,-0.06923076923076923,-0.06923076923076923,0.0385251333655798,0.0538189723813498,,1,14
KOSDAQ,abs_opportunity20,future_dispersion20,DISCOVERY_2016_2019,184,0.06460287800273545,1,0.06460287800273545,0.06460287800273545,0.0341109185589527,0.0448993940941234,0.0015061441033634645,62,62
KOSDAQ,abs_opportunity20,future_dispersion20,VALIDATION_2020_2022,149,0.06460287800273545,1,0.15905677489570108,0.15905677489570108,0.0341109185589527,0.0448993940941234,0.005060343033141977,67,34
KOSDAQ,abs_opportunity20,future_dispersion20,CONFIRM_2023_2024,97,0.06460287800273545,1,0.08918051756785188,0.08918051756785188,0.0341109185589527,0.0448993940941234,0.004177304304518313,38,34
