universe,target,model,sample,n,event_rate,brier,logloss,auc
KOSDAQ,TARGET_MKT_NEG20,B_ONLY,BULL_2025,45,0.2222222222222222,0.25119580528992325,0.6955394633198493,0.5928571428571429
KOSDAQ,TARGET_MKT_NEG20,B_ONLY,YTD_2026,13,0.5384615384615384,0.2515157183679213,0.6961788869864791,0.4166666666666667
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,TRAIN_2016_2022,256,0.50390625,0.2491728106962482,0.6914911728346202,0.5312213880241714
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,OOS_2023_2024,73,0.4931506849315068,0.24917529671465807,0.6914915121651006,0.5457957957957958
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,BULL_2025,45,0.2222222222222222,0.26051940633921156,0.7142294538181682,0.30714285714285716
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,YTD_2026,13,0.5384615384615384,0.25918559955356496,0.7115561939956879,0.4166666666666667
KOSDAQ,TARGET_MKT_NEG20,B_FB20,TRAIN_2016_2022,256,0.50390625,0.24816445260976072,0.6894688934946094,0.5472746139290728
KOSDAQ,TARGET_MKT_NEG20,B_FB20,OOS_2023_2024,73,0.4931506849315068,0.25329401138748725,0.6997522522904923,0.4677177177177177
KOSDAQ,TARGET_MKT_NEG20,B_FB20,BULL_2025,45,0.2222222222222222,0.2552648418948118,0.7037592822669788,0.5042857142857143
KOSDAQ,TARGET_MKT_NEG20,B_FB20,YTD_2026,13,0.5384615384615384,0.23359413208294943,0.660204962669339,0.6666666666666666
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,TRAIN_2016_2022,256,0.50390625,0.2465957992569321,0.686296969542391,0.5644265397057926
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,OOS_2023_2024,73,0.4931506849315068,0.2479653924769709,0.6889567930868743,0.5566816816816816
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,BULL_2025,45,0.2222222222222222,0.2664484826376709,0.7271528240937386,0.4642857142857143
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,YTD_2026,13,0.5384615384615384,0.23222742582434305,0.6568635335758108,0.5595238095238095
KOSDAQ,TARGET_DD5_20,B_ONLY,TRAIN_2016_2022,256,0.3828125,0.23625203867660763,0.6653923461883249,0.5040687160940326
KOSDAQ,TARGET_DD5_20,B_ONLY,OOS_2023_2024,73,0.3424657534246575,0.22743717793101445,0.6474784436018572,0.425
KOSDAQ,TARGET_DD5_20,B_ONLY,BULL_2025,45,0.15555555555555556,0.1825936808679361,0.5560045648694466,0.5939849624060151
KOSDAQ,TARGET_DD5_20,B_ONLY,YTD_2026,13,0.6153846153846154,0.2933187753523904,0.7818982172138814,0.4
KOSDAQ,TARGET_DD5_20,B_FSUB,TRAIN_2016_2022,256,0.3828125,0.23454379088283042,0.6617735126427432,0.5478881425988117
KOSDAQ,TARGET_DD5_20,B_FSUB,OOS_2023_2024,73,0.3424657534246575,0.21576449868494357,0.6227393814175248,0.7025
KOSDAQ,TARGET_DD5_20,B_FSUB,BULL_2025,45,0.15555555555555556,0.18698527689650374,0.5644202849991282,0.40225563909774437
KOSDAQ,TARGET_DD5_20,B_FSUB,YTD_2026,13,0.6153846153846154,0.29026191160931425,0.7767638620637604,0.475
KOSDAQ,TARGET_DD5_20,B_FB20,TRAIN_2016_2022,256,0.3828125,0.23468248009704165,0.6620609647557946,0.5468548178765177
KOSDAQ,TARGET_DD5_20,B_FB20,OOS_2023_2024,73,0.3424657534246575,0.23472637033206994,0.6630814223250763,0.34791666666666665
KOSDAQ,TARGET_DD5_20,B_FB20,BULL_2025,45,0.15555555555555556,0.18514418434298668,0.5604843679089516,0.5357142857142857
KOSDAQ,TARGET_DD5_20,B_FB20,YTD_2026,13,0.6153846153846154,0.2680282086097056,0.7299276784604092,0.775
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,TRAIN_2016_2022,256,0.3828125,0.23212099139833514,0.6567985300494517,0.5684577628519762
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,OOS_2023_2024,73,0.3424657534246575,0.22975149734439984,0.6521645404556522,0.5004166666666666
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,BULL_2025,45,0.15555555555555556,0.20377394247775615,0.5974612771803344,0.5
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,YTD_2026,13,0.6153846153846154,0.2307003599233329,0.6555382457189977,0.6625
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_ONLY,TRAIN_2016_2022,328,0.1524390243902439,0.11504562677093665,0.3688855911725834,0.7405755395683453
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_ONLY,OOS_2023_2024,96,0.13541666666666666,0.09578624523855195,0.3101758153624125,0.8109360518999074
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_ONLY,BULL_2025,49,0.16326530612244897,0.11615207785024613,0.3671384545149316,0.7728658536585366
