universe,factor,overlay,cost_bp,period,n_phases,median_delta_return,median_delta_sharpe,median_delta_mdd,median_delta_turnover,return_wins
K200,WEIGHTED_MOM,RAW_TA_W10,60,BULL_2025,10,0.11030372010257161,0.08379187034478741,-0.00020876165694244664,-0.020833333333333287,10
K200,WEIGHTED_MOM,RAW_TA_W10,60,EARLY_2017_2019,10,0.006134138758746688,0.06596202504344895,-0.003949042867879005,-0.00684931506849315,6
K200,WEIGHTED_MOM,RAW_TA_W10,60,LATE_2020_2022,10,0.012477636011446414,0.06621087516605505,-0.007817344771615609,-0.003031531531531545,6
K200,WEIGHTED_MOM,RAW_TA_W10,60,NORMAL_2023_2024,10,-0.002574707371939877,-0.011394447355190601,-0.014424617272735418,0.0056122448979591955,5
K200,WEIGHTED_MOM,RAW_TA_W10,60,PRE_STRESS_2017_2024,10,0.0016505415247979882,0.014830005979628164,0.0022096192067793674,-0.0028061224489795977,5
K200,WEIGHTED_MOM,RAW_TA_W10,60,YTD_2026,10,-0.03363915068015988,-0.049760492570404935,-0.01691683214208478,-0.008333333333333387,4
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,BULL_2025,10,-0.002358373015396209,-0.001141834010951026,0.0016255759840501094,0.03260869565217389,3
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,EARLY_2017_2019,10,0.0038500325368975297,0.029007419533107093,-0.008863465361815315,0.013194444444444453,7
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,LATE_2020_2022,10,0.003716604362596576,0.01274546254148927,0.0014958681350031866,0.02391814656052238,6
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,NORMAL_2023_2024,10,-0.0026591883221002144,-0.02238279914774919,-0.013379738259622687,0.018877551020408223,5
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,PRE_STRESS_2017_2024,10,0.0018167886607967088,-0.0021708662383277677,0.012236858135252549,0.017884216841186684,6
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,30,YTD_2026,10,-0.13041661866427934,-0.15293237033614443,-0.007190549025372972,0.0267857142857143,1
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,BULL_2025,10,-0.006254999902531422,-0.009603054926138666,0.0012711554131387137,0.03260869565217389,3
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,EARLY_2017_2019,10,0.0028948249972018947,0.0223133726105767,-0.010612636418913246,0.013194444444444453,7
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,LATE_2020_2022,10,0.0022581592083394386,0.005285204331645449,0.006036301149607459,0.02391814656052238,6
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,NORMAL_2023_2024,10,-0.003914656965799901,-0.03290772103086778,-0.014003976477909685,0.018877551020408223,4
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,PRE_STRESS_2017_2024,10,0.0004150161940928432,-0.013562411589326057,0.0004184749550820155,0.017884216841186684,5
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,60,YTD_2026,10,-0.13082022596495035,-0.15532005425740492,-0.0071579327978962826,0.0267857142857143,1
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,BULL_2025,10,-0.11278109470281594,-0.18789988642454936,-0.009323394228843707,0.1127264492753623,2
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,EARLY_2017_2019,10,-0.017793862233867586,-0.10626814281969149,-0.021241348213961064,0.0964336459221371,1
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,LATE_2020_2022,10,0.038453853542613214,0.11765903104501366,-0.0011695157401658274,0.10692213750090124,7
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,NORMAL_2023_2024,10,0.006341148442373934,0.04736818030308668,-0.020520837786833834,0.09642857142857147,5
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,PRE_STRESS_2017_2024,10,0.012464648354850227,0.05203566475797616,0.035955154797818356,0.09934481188947125,6
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,30,YTD_2026,10,0.019658032001601433,-0.09381644911554476,0.010326687036266546,0.07738095238095233,6
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,60,BULL_2025,10,-0.11962455075865841,-0.21705224259546663,-0.011199830827249346,0.1127264492753623,1
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,60,EARLY_2017_2019,10,-0.0236889153977744,-0.1436555471830261,-0.02767600780614965,0.0964336459221371,0
