variant,universe,strategy,factor,period,return_type,median_cagr,median_sharpe,median_mdd,median_calmar,median_annual_turnover,min_cagr,max_cagr,positive_cagr_phases,n_phases
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,PRE_STRESS_2016_2024,NET60,0.0393961047160295,0.2819793442426874,-0.4891865881126117,0.07716213696989024,13.764491089121034,0.0028120885819358232,0.056340723174391316,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,YTD_2026,GROSS,-0.16490766896502373,-0.020469245680481907,-0.4860531257849204,-0.3501324373137129,15.338706865100562,-0.36994124253723226,-0.023950264164174895,0,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,YTD_2026,NET30,-0.2017158371211053,-0.09827497657303794,-0.49100232261370813,-0.4232976441956392,15.338706865100562,-0.39716300776398705,-0.06732082771854819,0,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,YTD_2026,NET60,-0.23696622035248388,-0.1761029591843124,-0.4959120786744474,-0.4913980336879815,15.338706865100562,-0.42325950010818447,-0.10884296486385536,0,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,BULL_2025,GROSS,0.8342467049175875,2.7430441525037192,-0.17302862909872352,4.660297305872236,15.141749620491293,0.6569788834478285,0.9442413139571788,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,BULL_2025,NET30,0.7534163070135379,2.5472650940770807,-0.17954579564171663,4.103612373971773,15.141749620491293,0.58329709722781,0.8571990002778902,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,BULL_2025,NET60,0.676002479622665,2.3480832319097473,-0.184277533835971,3.5925124869070246,15.141749620491293,0.512758009970046,0.7738958912189247,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,EARLY_2016_2019,GROSS,0.1301063645887538,0.7244072843684316,-0.22963427334825398,0.5577951124445563,13.515997540696493,0.10048074101058235,0.15728456534336432,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,EARLY_2016_2019,NET30,0.08555440965770711,0.5173850550836357,-0.24397689514891163,0.34676458562558965,13.515997540696493,0.05733125160013408,0.11102743922043223,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,EARLY_2016_2019,NET60,0.0426855971504404,0.3114364527487724,-0.25806744402750126,0.16631076104075532,13.515997540696493,0.015802671813839764,0.06654333345788221,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,FULL_2016_2026,GROSS,0.19302983569179288,0.7957607896476228,-0.46473124085881273,0.40762558927852693,14.17969627854898,0.15557643363861806,0.19820143290215841,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,FULL_2016_2026,NET30,0.14328752690827173,0.6360741457694152,-0.4753214909848119,0.29879163744602066,14.17969627854898,0.10734850909506988,0.1480534418173034,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,FULL_2016_2026,NET60,0.09553361019403961,0.47593969035195793,-0.49116620921237064,0.1936499862614544,14.17969627854898,0.061050234919071356,0.0999184214933364,10,10
MIXED_OPFY1_CF20,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,OPFY1_REV,LATE_2020_2022,GROSS,0.22018282961788582,0.8341198744709893,-0.45153618513258537,0.47941475146632795,14.158196282228719,0.12236899640171672,0.24452512532138404,10,10
