universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,train_q33,train_q67,low_n,high_n,raw_high_minus_low,directed_high_minus_low
KOSDAQ,2025,BULL_2025,LOSER_WEAKNESS_20,TARGET_RANK_CORR_60,430,49,-0.04433424976394874,-1,0.13189919517410353,-0.13189919517410353,0.05122857847472073,0.08357706474357196,8,24,0.18452380952380953,-0.18452380952380953
KOSDAQ,2025,BULL_2025,WINNER_GAP_20,TARGET_RANK_CORR_60,430,49,-0.09037572999998084,-1,0.21673168800208178,-0.21673168800208178,0.011150211305434032,0.031305590911749004,10,18,0.23650793650793656,-0.23650793650793656
KOSDAQ,2025,BULL_2025,CROSS_HORIZON_RANK_CORR,TARGET_RANK_CORR_60,430,49,0.014499991395967526,1,0.17165293147703345,0.17165293147703345,0.38095238095238104,0.6904761904761906,15,17,0.09523809523809523,0.09523809523809523
KOSDAQ,2025,BULL_2025,PREV_RANK_CORR_20,TARGET_RANK_CORR_60,430,49,0.11105998483126885,1,0.08240442026761848,0.08240442026761848,-0.14285714285714288,0.28571428571428575,17,20,0.05798319327731097,0.05798319327731097
KOSDAQ,2025,BULL_2025,RANK_TURNOVER_20,TARGET_RANK_CORR_60,430,49,-0.11105998483126885,-1,-0.08240442026761848,0.08240442026761848,0.7142857142857142,1.1428571428571428,20,17,-0.05798319327731097,0.05798319327731097
KOSDAQ,2025,BULL_2025,BREADTH_CHANGE_20,TARGET_RANK_CORR_60,430,49,0.026008856364813947,1,0.2841462316095201,0.2841462316095201,-0.125,0.125,21,19,0.2676930421291323,0.2676930421291323
KOSDAQ,2025,BULL_2025,DISPERSION_CHANGE_20,TARGET_RANK_CORR_60,430,49,-0.09043294463866856,-1,-0.1174367882642735,0.1174367882642735,-0.008741316768338274,0.010049963702082873,16,13,-0.14434523809523817,0.14434523809523817
KOSDAQ,2025,BULL_2025,AVG_PAIR_CORR_60,TARGET_RANK_CORR_60,430,49,0.03834505459778029,1,0.354763352537244,0.354763352537244,0.028224113771513844,0.09668230112113406,11,19,0.2666894508999773,0.2666894508999773
KOSDAQ,2025,BULL_2025,PC1_SHARE_60,TARGET_RANK_CORR_60,430,49,-0.05395181918040666,-1,0.11907211342722249,-0.11907211342722249,0.37082346915637887,0.4236394733849294,34,6,0.2208216619981326,-0.2208216619981326
KOSDAQ,2025,BULL_2025,FACTOR_VOL_MEDIAN_60,TARGET_RANK_CORR_60,430,49,-0.017083551397831562,-1,0.10859581160208058,-0.10859581160208058,0.020730397407417583,0.024266180430707697,6,31,0.055811571940604265,-0.055811571940604265
KOSDAQ,2025,BULL_2025,SIGN_ALIGNMENT_20_60,TARGET_RANK_CORR_60,430,49,-0.027037488835982355,-1,0.053666859182820055,-0.053666859182820055,0.625,0.75,26,23,-0.12183468705207834,0.12183468705207834
KOSDAQ,2025,BULL_2025,BREADTH_20,TARGET_TOP2_SURVIVAL_20,430,49,-0.021105757870104852,-1,-0.01209870373653559,0.01209870373653559,0.5,0.625,27,22,-0.05555555555555558,0.05555555555555558
KOSDAQ,2025,BULL_2025,BREADTH_60,TARGET_TOP2_SURVIVAL_20,430,49,0.0019496935382998424,1,0.09647243022252991,0.09647243022252991,0.5,0.625,12,37,0.20608108108108103,0.20608108108108103
