date,sample,universe,factor,family,strategy,gross,turnover
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,VETO20,-0.035090131637317584,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,PROMOTE20,0.00016744664734329311,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.0203963926180383,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,CF20,-0.010610426467552878,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,BASE,-0.03415068492352399,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,VETO20,-0.031691210158240266,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,PROMOTE20,-0.023419148862514567,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,VETO_PROMOTE20,-0.020351491205717977,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,CF20,-0.035331546572940783,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,BASE,-0.038132275999076135,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,VETO20,-0.017108393628320347,1.0
