policy,phase,return_type,period,cagr,sharpe,mdd,annual_turnover,annual_allocation_turnover,avg_target_exposure
CRASH_GUARD_REBAL10,1,NET30,YTD_2026,0.07031013735889413,0.37623295229901915,-0.30037274316884544,17.46539128681417,5.142857142857142,0.7414965986394558
CRASH_GUARD_REBAL10,1,NET60,TRAIN_2016_2022,0.05560525064409627,0.3536065548363678,-0.4559437256505151,15.984037711180223,3.8093023255813954,0.8837209302325582
CRASH_GUARD_REBAL10,1,NET60,OOS_2023_2024,-0.015712402675531423,0.03207004800114536,-0.2522523307633222,16.10176602422032,2.061349693251534,0.9386503067484663
CRASH_GUARD_REBAL10,1,NET60,PRE_STRESS_2016_2024,0.039385161575957284,0.2857257712894091,-0.4559437256505151,16.010098890481537,3.422363060208239,0.8958804889090086
CRASH_GUARD_REBAL10,1,NET60,BULL_2025,0.2982440672653037,1.360627947559779,-0.1675637524703767,18.860671489448436,4.165289256198347,0.8760330578512396
CRASH_GUARD_REBAL10,1,NET60,YTD_2026,0.015485674838648045,0.2586917391723507,-0.30750672337170293,17.46539128681417,5.142857142857142,0.7414965986394558
CRASH_GUARD_REBAL10,2,GROSS,TRAIN_2016_2022,0.15062393079838476,0.7295672256110084,-0.4673903596032878,15.945745975905373,3.81151832460733,0.883653286794648
CRASH_GUARD_REBAL10,2,GROSS,OOS_2023_2024,0.11012602614984957,0.6076343461390796,-0.21847346023492886,16.31346076760909,2.061349693251534,0.9386503067484663
CRASH_GUARD_REBAL10,2,GROSS,PRE_STRESS_2016_2024,0.14152945503012937,0.7041276915715373,-0.4673903596032878,16.027182811568018,3.4239130434782608,0.8958333333333334
CRASH_GUARD_REBAL10,2,GROSS,BULL_2025,0.5690122700055849,2.188953490671595,-0.16868775277616488,17.97272443251374,4.165289256198347,0.8760330578512396
CRASH_GUARD_REBAL10,2,GROSS,YTD_2026,0.29730202448783283,0.809379789653577,-0.26582549212528994,16.851046266674903,5.142857142857142,0.7482993197278912
