model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,avg_abs_lambda,annual_turnover
COMBINED_ALL_CONT,K200,10,YTD_2026,4,0.5546858136341974,4.56759848565645,0.0,0.44758800968263035,3.218589932676514,0.0,0.1070978039515671,1.3490085529799365,0.0,0.15853340292275575,2.3224329696072243
PERSIST_ALL_CONT,KOSDAQ,10,YTD_2026,4,0.38487939994677056,2.919479993306981,-0.009413775369480737,0.35271358515920936,2.8047603829741363,-0.01114308345845183,0.0321658147875612,0.11471961033284472,0.0017293080889710932,0.13596033402922755,2.285648304364713
LIQ_ALL_CONT,KOSDAQ,10,YTD_2026,4,0.3112148178213474,2.717971473640638,-0.011971549913552093,0.35271358515920936,2.8047603829741363,-0.01114308345845183,-0.04149876733786195,-0.08678890933349814,-0.000828466455100263,0.08115866388308977,1.1315404245763951
COMBINED_ALL_CONT,KOSDAQ,10,YTD_2026,4,0.3401554267967337,2.8449257174063027,-0.01032674482923901,0.35271358515920936,2.8047603829741363,-0.01114308345845183,-0.012558158362475647,0.04016533443216641,0.0008163386292128205,0.08298538622129435,1.3950682745059961
PERSIST_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,4,0.26940859557432795,3.0047175248781786,-0.00845615102652375,0.2828730582623422,2.96081382296115,-0.008290406828556196,-0.013464462688014267,0.04390370191702875,-0.00016574419796755446,0.0746346555323591,1.1865644875467305
LIQ_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,4,0.27381816057747965,3.041971247198587,-0.008397216821731335,0.2828730582623422,2.96081382296115,-0.008290406828556196,-0.009054897684862562,0.08115742423743733,-0.00010680999317513873,0.1137787056367432,1.6814570234742925
COMBINED_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,4,0.2637710553570731,3.0713275440064796,-0.00834840637347789,0.2828730582623422,2.96081382296115,-0.008290406828556196,-0.01910200290526909,0.11051372104532975,-5.7999544921694124e-05,0.08703027139874739,1.2547041513934067
PERSIST_ALL_CONT,KOSPI_ALL,10,YTD_2026,4,0.35514461811557596,2.9858632172755217,0.0,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.017822408418678437,0.40238252511034744,0.0010997618702287548,0.11769311064718163,2.0738688431567702
LIQ_ALL_CONT,KOSPI_ALL,10,YTD_2026,4,0.36186998095418765,3.420326876819926,0.0,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.02454777125729013,0.8368461846547519,0.0010997618702287548,0.20015657620041755,2.4099251104529786
COMBINED_ALL_CONT,KOSPI_ALL,10,YTD_2026,4,0.36500603394982445,3.4715260176005973,0.0,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.027683824252926925,0.888045325435423,0.0010997618702287548,0.21450939457202506,2.786672095754236
PERSIST_ALL_CONT,KOSPI_EX_K200,10,YTD_2026,4,0.058906668109210525,0.5563437255396125,-0.03878272773186486,0.09628607605010986,0.8131294328196278,-0.03853855760883207,-0.037379407940899334,-0.25678570728001526,-0.0002441701230327942,0.10848017621145375,1.6697338472834067
LIQ_ALL_CONT,KOSPI_EX_K200,10,YTD_2026,4,0.04566815285095083,0.4868476911837859,-0.036595668710875495,0.09628607605010986,0.8131294328196278,-0.03853855760883207,-0.05061792319915903,-0.3262817416358419,0.001942888897956574,0.20457048458149782,2.1963313754282914
COMBINED_ALL_CONT,KOSPI_EX_K200,10,YTD_2026,4,0.04349372976226795,0.46425328107637914,-0.03698075167925763,0.09628607605010986,0.8131294328196278,-0.03853855760883207,-0.05279234628784191,-0.34887615174324865,0.0015578059295744406,0.19534691629955947,2.1697601566324036
PERSIST_ALL_CONT,KOSPI_KOSDAQ_ALL,10,YTD_2026,4,0.3926913727152197,3.9807376730694557,-0.0007567734891786859,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,0.035180875555319124,0.3285966917794054,-0.0005189562224480193,0.12291231732776617,2.0050490969558674
LIQ_ALL_CONT,KOSPI_KOSDAQ_ALL,10,YTD_2026,4,0.43812209179408645,3.631510887803224,-5.738180283676453e-05,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,0.08061159463418588,-0.02063009348682643,0.00018043546389390208,0.15709812108559498,1.6920315155119676
COMBINED_ALL_CONT,KOSPI_KOSDAQ_ALL,10,YTD_2026,4,0.4472685842411659,3.856839471506058,-0.0004121525994085218,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,0.08975808708126531,0.20469849021600783,-0.00017433533267785517,0.13948329853862212,1.8094205163373303
PERSIST_ALL_CONT,K200,30,DEV_2020_2022,38,0.07229376898068263,1.0033507248868276,-0.04920942137303752,0.06827132347523568,0.9215249775433709,-0.06132276546491944,0.004022445505446948,0.08182574734345671,0.012113344091881917,0.14615317189106716,2.0631617486928717
LIQ_ALL_CONT,K200,30,DEV_2020_2022,38,0.06267718084345342,0.8586325566111547,-0.056017892930635305,0.06827132347523568,0.9215249775433709,-0.06132276546491944,-0.005594142631782262,-0.06289242093221625,0.005304872534284133,0.10807203685308699,1.6464519502115729
COMBINED_ALL_CONT,K200,30,DEV_2020_2022,38,0.06984894390145091,0.9825656371772552,-0.04954487600934854,0.06827132347523568,0.9215249775433709,-0.06132276546491944,0.0015776204262152316,0.061040659633884276,0.0117778894555709,0.10484923354679604,1.6126887136146892
PERSIST_ALL_CONT,KOSDAQ,30,DEV_2020_2022,38,0.049001343634925254,0.8317789676520486,-0.07192634770022643,0.041450262265989135,0.6867871598105947,-0.10032032873074759,0.007551081368936119,0.14499180784145393,0.028393981030521154,0.14737347305613105,2.1202188057659805
LIQ_ALL_CONT,KOSDAQ,30,DEV_2020_2022,38,0.035442430042119444,0.5751461747290342,-0.1123271989607556,0.041450262265989135,0.6867871598105947,-0.10032032873074759,-0.006007832223869691,-0.1116409850815605,-0.012006870230008015,0.12506186717349804,1.8673213402977378
COMBINED_ALL_CONT,KOSDAQ,30,DEV_2020_2022,38,0.04546858451235636,0.7624819027099322,-0.08697871684759184,0.041450262265989135,0.6867871598105947,-0.10032032873074759,0.004018322246367223,0.07569474289933753,0.013341611883155746,0.1302803414449435,1.9614563473951199
PERSIST_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,30,DEV_2020_2022,38,0.06024360374709059,0.9366177007230189,-0.0827197795343445,0.05981285107347367,0.905060457419607,-0.08721308188926813,0.0004307526736169187,0.03155724330341192,0.004493302354923623,0.14751996215213137,2.0548169814545165
LIQ_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,30,DEV_2020_2022,38,0.056669886423480476,0.8468561493319493,-0.07847986271724938,0.05981285107347367,0.905060457419607,-0.08721308188926813,-0.0031429646499931962,-0.05820430808765764,0.008733219172018747,0.11802968649864853,1.8425492810717392
COMBINED_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,30,DEV_2020_2022,38,0.05846321861562642,0.8973738242355424,-0.07992414915885881,0.05981285107347367,0.905060457419607,-0.08721308188926813,-0.0013496324578472496,-0.007686633184064595,0.007288932730409314,0.13533613740260814,2.1109966801650537
PERSIST_ALL_CONT,KOSPI_ALL,30,DEV_2020_2022,38,0.07004497380189512,1.1124288816425147,-0.047173696877841786,0.0673225288250745,1.0918942969137404,-0.04072532130981732,0.002722444976820615,0.02053458472877434,-0.006448375568024467,0.1404943167725065,1.9369815309058211
LIQ_ALL_CONT,KOSPI_ALL,30,DEV_2020_2022,38,0.059989505367014084,0.972467835876452,-0.040280544497752646,0.0673225288250745,1.0918942969137404,-0.04072532130981732,-0.007333023458060417,-0.11942646103728838,0.00044477681206467334,0.13215407062590315,1.8619960744753608
COMBINED_ALL_CONT,KOSPI_ALL,30,DEV_2020_2022,38,0.06671617246393668,1.0840921767902947,-0.039663907469175586,0.0673225288250745,1.0918942969137404,-0.04072532130981732,-0.0006063563611378164,-0.007802120123445722,0.001061413840641734,0.13520183989337023,1.8852983103860237
PERSIST_ALL_CONT,KOSPI_EX_K200,30,DEV_2020_2022,31,0.09856888346226733,1.1252534476518001,-0.06051647950660133,0.08352209351311046,0.9812761219459062,-0.06475484058299597,0.015046789949156869,0.14397732570589394,0.004238361076394637,0.11761943643021117,1.7625845483549099
LIQ_ALL_CONT,KOSPI_EX_K200,30,DEV_2020_2022,31,0.08739908411730002,0.9663072023575499,-0.07502825386624568,0.08352209351311046,0.9812761219459062,-0.06475484058299597,0.0038769906041895563,-0.014968919588356333,-0.01027341328324971,0.12370616087232256,1.931450914879869
COMBINED_ALL_CONT,KOSPI_EX_K200,30,DEV_2020_2022,31,0.09746056177878315,1.094905383144432,-0.0699600764087196,0.08352209351311046,0.9812761219459062,-0.06475484058299597,0.013938468265672688,0.11362926119852579,-0.005205235825723631,0.1234876969693439,1.9847721510173015
