sample,universe,target,definition,metric,horizon,outcome,n_high,n_low,high_mean,low_mean,high_minus_low,nw_t
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_INCLUSIVE,5,top,16,208,0.004392215278215787,0.0015578362791902301,0.002834378999025557,0.5582303381792402
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_INCLUSIVE,5,spread,16,208,-0.00307184449968295,0.0004953366147003012,-0.003567181114383251,-1.1516070695710034
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_INCLUSIVE,20,top,16,208,-0.024033203913048806,0.0075734458666150885,-0.031606649779663896,-2.874100551880061
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_INCLUSIVE,20,spread,16,208,-0.010406996567162343,-0.0002678899600885928,-0.01013910660707375,-1.206137944079291
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_NET_BREADTH,5,top,122,64,0.0011457200755189334,0.005444122743962686,-0.004298402668443752,-0.6085816069530992
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_NET_BREADTH,5,spread,122,64,0.00025052723814873224,7.996886978068273e-05,0.0001705583683680495,0.0679394337535065
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_NET_BREADTH,20,top,122,64,-0.0034999576731008755,0.02146093283266737,-0.024960890505768246,-1.6078814864693323
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_NET_BREADTH,20,spread,122,64,0.0007803674109249563,-0.0038708590766685946,0.004651226487593551,0.9271115929743953
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_INCLUSIVE,5,top,126,73,0.0011555349699657878,0.004511684844065308,-0.0033561498740995203,-0.5122723340301091
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_INCLUSIVE,5,spread,126,73,-0.0012895320135695167,-0.002759948701729019,0.0014704166881595023,0.5940571883336508
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_INCLUSIVE,20,top,126,73,-0.006127293362823005,0.02074561965840858,-0.026872913021231584,-1.6593968305227216
TRAIN_2017_2022,KOSDAQ,FLOW,B,FH_B_INCLUSIVE,20,spread,126,73,-0.001306601408211031,-0.00386024669441274,0.002553645286201709,0.524524263965386
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_CONTINUOUS,5,top,97,97,-9.721436590962906e-05,7.131106625094705e-05,-0.00016852543216057611,-0.02771640809623265
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_CONTINUOUS,5,spread,97,97,-0.0003177013004220915,-0.001873071525358507,0.0015553702249364153,0.6045531507349822
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_CONTINUOUS,20,top,97,97,-0.008828525527001908,0.009180477335879155,-0.01800900286288106,-1.232633656577102
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_CONTINUOUS,20,spread,97,97,-0.0012984461288361904,-0.00451756508049412,0.00321911895165793,0.5557545287453601
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_INCLUSIVE,5,top,97,97,0.00010672756403639034,-0.00025273187632522876,0.0003594594403616191,0.05881405464369327
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_INCLUSIVE,5,spread,97,97,-0.001666375767934172,-0.0020394009565358443,0.0003730251886016722,0.14216472136425976
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_INCLUSIVE,20,top,97,97,-0.002341479260227938,0.015109920278842023,-0.01745139953906996,-1.173241232887015
TRAIN_2017_2022,KOSDAQ,FLOW,C,FH_C_INCLUSIVE,20,spread,97,97,-0.003233751205128534,-0.005408610587097956,0.0021748593819694217,0.3860219437000997
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_HEALTHY_BREADTH,5,top,52,239,0.0023206888755898996,0.0005562079326045772,0.0017644809429853223,0.2962743447443298
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_HEALTHY_BREADTH,5,spread,52,239,0.004635615445253959,-0.00206631015476839,0.006701925600022349,1.2007203720362194
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_HEALTHY_BREADTH,20,top,52,239,0.005528099927630806,0.0036758581037007318,0.0018522418239300745,0.11746815549441166
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_HEALTHY_BREADTH,20,spread,52,239,0.008339742109940604,-0.006008252029728516,0.01434799413966912,1.396990694529363
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_INCLUSIVE,5,top,16,208,0.008911130328474976,0.0011720898658277611,0.007739040462647215,0.9592986682027735
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_INCLUSIVE,5,spread,16,208,0.0053389518993928135,-0.0014352110325750447,0.006774162931967858,0.8103372666483836
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_INCLUSIVE,20,top,16,208,-0.010268906934151497,0.007142719296525548,-0.017411626230677046,-1.0446912870854712
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,FH_A_INCLUSIVE,20,spread,16,208,-0.0023919534552061306,-0.006279148615410588,0.0038871951602044573,0.2415007025918745
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_NET_BREADTH,5,top,125,57,0.002431206473564711,-0.0011332164617931443,0.0035644229353578552,0.4468447312241226
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_NET_BREADTH,5,spread,125,57,0.0008738985330990418,-0.0013577109993565405,0.002231609532455582,0.3790192206264164
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_NET_BREADTH,20,top,125,57,0.004495654537012219,0.017012355407611344,-0.012516700870599124,-0.5521132605495911
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_NET_BREADTH,20,spread,125,57,0.006516917813417906,-0.004345853102327055,0.01086277091574496,0.6493572082251183
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_INCLUSIVE,5,top,126,73,0.0025497412212586853,0.0037572839959752248,-0.0012075427747165394,-0.1745782356594503
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_INCLUSIVE,5,spread,126,73,0.0011355866255733,-0.002789657590905703,0.003925244216479003,0.7623413315935553
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_INCLUSIVE,20,top,126,73,0.0002886870610527106,0.017880184354216847,-0.017591497293164136,-0.9778153928059934
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,FH_B_INCLUSIVE,20,spread,126,73,0.006224434880158735,-0.011902859790648933,0.01812729467080767,1.2685728078249885
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_CONTINUOUS,5,top,97,97,0.005068591055838942,-0.0013475417904105576,0.006416132846249499,0.9679395152299717
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_CONTINUOUS,5,spread,97,97,0.0033846748174891266,-0.0005270266344251462,0.0039117014519142726,0.7364688776200767
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_CONTINUOUS,20,top,97,97,0.004034646934648618,0.007256061803401688,-0.00322141486875307,-0.18201568601693957
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_CONTINUOUS,20,spread,97,97,0.009041423115886252,-0.015429105761437363,0.024470528877323615,1.6805531886549891
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_INCLUSIVE,5,top,97,97,0.004324551919705057,-0.0035205525400085176,0.007845104459713575,1.1686080492865183
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_INCLUSIVE,5,spread,97,97,0.0034756767245047874,-0.007837024319396467,0.011312701043901256,2.1016832754785604
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_INCLUSIVE,20,top,97,97,0.005551745671603837,0.006930669688610756,-0.0013789240170069186,-0.08108262371500606
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,FH_C_INCLUSIVE,20,spread,97,97,0.007132227952427904,-0.025401420623496915,0.03253364857592482,2.147476624877348
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_HEALTHY_BREADTH,5,top,35,256,0.007130011007550178,0.0028006343321375785,0.004329376675412599,0.7783395231065232
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_HEALTHY_BREADTH,5,spread,35,256,0.0008702091012446281,0.0031372642526999346,-0.0022670551514553067,-0.5128638035737759
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_HEALTHY_BREADTH,20,top,35,256,0.00866547638402449,0.014372288117745671,-0.005706811733721182,-0.5398830843680181
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_HEALTHY_BREADTH,20,spread,35,256,0.021531719451328844,0.010511552997017747,0.011020166454311097,1.2196849113027444
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_INCLUSIVE,5,top,16,208,0.00195404409293425,0.0037408378169039537,-0.0017867937239697037,-0.2920263756613687
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_INCLUSIVE,5,spread,16,208,-0.005025422778406005,0.003143730293433689,-0.008169153071839694,-2.0205485910815146
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_INCLUSIVE,20,top,16,208,0.007222130849538993,0.015044778451030581,-0.007822647601491588,-0.680662340859153
TRAIN_2017_2022,KOSDAQ,REVISION,A,FH_A_INCLUSIVE,20,spread,16,208,0.014998695042120357,0.010598621488426274,0.004400073553694083,0.44876010927093973
TRAIN_2017_2022,KOSDAQ,REVISION,B,FH_B_NET_BREADTH,5,top,100,77,0.0030371863723425347,0.007702562338090014,-0.00466537596574748,-0.7450717185721866
TRAIN_2017_2022,KOSDAQ,REVISION,B,FH_B_NET_BREADTH,5,spread,100,77,0.00297605862436448,0.0017165770977457528,0.0012594815266187272,0.37982135697315267
TRAIN_2017_2022,KOSDAQ,REVISION,B,FH_B_NET_BREADTH,20,top,100,77,0.011854505104534944,0.027518546348575007,-0.015664041244040063,-1.0294977840579882
