date,universe,factor,family,cut_name,spread_20d,strength_vs_cut,state
2021-02-04,K200,MOM1M,MOMENTUM,Q25,0.0834566731929649,7.188484185164539,WORKING
2021-02-15,K200,MOM1M,MOMENTUM,Q25,0.06022864561755914,5.187753716406224,WORKING
2021-02-22,K200,MOM1M,MOMENTUM,Q25,0.0245667010647157,2.1160362057214157,WORKING
2021-03-02,K200,MOM1M,MOMENTUM,Q25,0.004914929623526465,0.42334414395151043,NEUTRAL
2021-03-09,K200,MOM1M,MOMENTUM,Q25,0.019501052443745115,1.6797099827092432,WORKING
2021-03-16,K200,MOM1M,MOMENTUM,Q25,0.009601919980477991,0.8270548931094924,NEUTRAL
2021-03-23,K200,MOM1M,MOMENTUM,Q25,0.006924383913796239,0.5964271322107759,NEUTRAL
2021-03-30,K200,MOM1M,MOMENTUM,Q25,-0.022048873722089635,-1.8991648479140686,REVERSE
2021-04-06,K200,MOM1M,MOMENTUM,Q25,-0.04688742624291298,-4.038616795219448,REVERSE
2021-04-13,K200,MOM1M,MOMENTUM,Q25,-0.03322108710306593,-2.8614759026183396,REVERSE
2021-04-20,K200,MOM1M,MOMENTUM,Q25,-0.03647174408709064,-3.141469046689964,REVERSE
2021-04-27,K200,MOM1M,MOMENTUM,Q25,0.041636832256603196,3.5863604280618655,WORKING
2021-05-04,K200,MOM1M,MOMENTUM,Q25,0.007251515584933532,0.6246043977842509,NEUTRAL
2021-05-12,K200,MOM1M,MOMENTUM,Q25,0.08408665823864925,7.24274752163041,WORKING
