feature,target,n_universe_years,train_direction_median,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
BREADTH_20,TARGET_WORST_LEADER_LOSS_20,42,-1.0,-0.017686190352870196,0.4444444444444444,-0.0010623489432221335,0.01834713849260598,0.5,0.0002676361816210211,-0.1115450535918277,0.3333333333333333,-0.009665815826028682,-0.1059700895691646,0.16666666666666666,-0.004448863633614795,3,6,False
ABS_OPPORTUNITY_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.020408163265306124,0.4444444444444444,-0.0041249463002755995,0.015957446808510637,0.5,-0.002138271546262796,-0.10785714285714285,0.16666666666666666,-0.015208695257783063,0.2843137254901961,0.6666666666666666,0.07376076894904052,4,6,False
BREADTH_60,TARGET_REVERSAL_GAP_20,42,-1.0,-0.08511469407399891,0.2222222222222222,-0.0063712953619999195,0.015324209183643115,0.5833333333333334,-0.006405263168248594,-0.047684279870619246,0.3333333333333333,-0.006201734118661107,-0.2784707113203347,0.3333333333333333,-0.06143048992985653,3,6,False
FACTOR_VOL_MEDIAN_60,TARGET_REVERSAL_GAP_20,42,1.0,-0.0358703481392557,0.5,0.012683980334905406,0.013108988276161528,0.5,0.0007989334991012637,0.12418367346938775,1.0,0.0363665493445465,0.2622549019607844,0.8333333333333334,0.0883828289870175,4,6,False
EXTREME_RANGE_RATIO_20,TARGET_REVERSAL_GAP_20,42,1.0,0.05191176470588235,0.6111111111111112,0.007685219144497713,0.001759661311333044,0.5,-0.0030439055147133565,0.038418367346938764,0.5,0.0013527942249593142,0.004901960784313722,0.5,-0.005331690255033526,4,6,False
EXTREME_RANGE_RATIO_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.0204191191269328,0.6111111111111112,0.012191240132416598,-0.0008613670457090529,0.5,0.029513888888888895,0.06271918454888745,0.8333333333333334,0.06704545454545455,-0.10906305523334722,0.16666666666666666,0.0,3,6,False
PREV_RANK_CORR_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,-0.10255326870792118,0.3333333333333333,-0.009133144354352796,-0.00432012337121958,0.5,0.0036525439718537904,-0.00791107185658947,0.5,0.000799635237544074,-0.10723753239480033,0.3333333333333333,-0.010398426632109636,3,6,False
RANK_TURNOVER_20,TARGET_TOP2_RELATIVE_LOSS_20,42,-1.0,-0.10255326870792118,0.3333333333333333,-0.009133144354352796,-0.00432012337121958,0.5,0.0036525439718537904,-0.00791107185658947,0.5,0.000799635237544074,-0.10723753239480033,0.3333333333333333,-0.010398426632109636,3,6,False
PREV_RANK_CORR_20,TARGET_REVERSAL_GAP_20,42,1.0,-0.07463689377037677,0.3333333333333333,-0.008926676035184624,-0.00510290089941945,0.4166666666666667,-0.004476798136865625,0.013169281630768633,0.6666666666666666,0.003206403033635172,-0.13252462289802852,0.3333333333333333,-0.037641210672940406,3,6,False
RANK_TURNOVER_20,TARGET_REVERSAL_GAP_20,42,-1.0,-0.07463689377037677,0.3333333333333333,-0.008926676035184624,-0.00510290089941945,0.4166666666666667,-0.004476798136865625,0.013169281630768633,0.6666666666666666,0.003206403033635172,-0.13252462289802852,0.3333333333333333,-0.037641210672940406,3,6,False
