variant,top_n,weighting,cost_bps,year,n_periods,return,excess_return,sharpe,mdd,avg_turnover,avg_rank_ic
MOM12_1_BASE,20,rank_linear,30,2026,13,0.016172999865549764,0.02609853959893904,0.35599432985292506,-0.42588847578352895,0.1882783882783883,-0.048981876807475816
MOM12_1_BASE,20,rank_linear,60,2016,25,-0.18803895112722147,-0.18849832020787893,-0.7758050172393526,-0.24149570002501486,0.25847619047619047,-0.02232554057217394
MOM12_1_BASE,20,rank_linear,60,2017,24,0.12414578107217222,-0.007129152317442267,0.9447023087297539,-0.07530165315515835,0.21726190476190474,0.0034107207624585432
MOM12_1_BASE,20,rank_linear,60,2018,25,-0.21447904580700272,-0.08031335039675025,-0.7322813333907033,-0.3423469120171809,0.18114285714285713,-0.042664110102604215
MOM12_1_BASE,20,rank_linear,60,2019,24,-0.18550882925811585,-0.14264691737395263,-1.4401193279220796,-0.22793797562100404,0.27460317460317457,-0.022136318135253158
MOM12_1_BASE,20,rank_linear,60,2020,25,0.6376269910386714,0.2740419028874095,1.4885805225725903,-0.2782332222451439,0.16666666666666663,-0.002199697627247541
MOM12_1_BASE,20,rank_linear,60,2021,25,-0.2053457942148471,-0.22697377849386713,-0.8225811407668479,-0.18972895564115722,0.1803809523809524,-0.06131108157880753
MOM12_1_BASE,20,rank_linear,60,2022,25,-0.256955943771245,-0.14388757535247,-1.0209885155947502,-0.25780173075902746,0.22400000000000003,0.013462161456106117
MOM12_1_BASE,20,rank_linear,60,2023,24,0.12413558406947289,0.08722828593229148,0.5342403128894037,-0.26994423464835815,0.21805555555555553,-0.0038000596023804456
MOM12_1_BASE,20,rank_linear,60,2024,24,0.1873889840871108,0.20170841943827011,0.7796071440229404,-0.1660304375903069,0.2113095238095238,0.06144272473809429
MOM12_1_BASE,20,rank_linear,60,2025,25,1.2148342605147788,0.43487456065841434,2.2293173782280755,-0.13163825231853166,0.1653333333333333,0.05907868765906574
MOM12_1_BASE,20,rank_linear,60,2026,13,0.008609372270053983,0.018522995695456457,0.334272405519249,-0.42774140190626553,0.1882783882783883,-0.048981876807475816
MOM12_1_BASE,20,rank_linear,100,2016,25,-0.20892705680493495,-0.20935426237384136,-0.8872150931409646,-0.25641204871548673,0.25847619047619047,-0.02232554057217394
MOM12_1_BASE,20,rank_linear,100,2017,24,0.10105156481775524,-0.02763523290308323,0.7894775311662303,-0.07615879601230113,0.21726190476190474,0.0034107207624585432
MOM12_1_BASE,20,rank_linear,100,2018,25,-0.22874128625990875,-0.09687677930051297,-0.7980337996303856,-0.3505109534668348,0.18114285714285713,-0.042664110102604215
MOM12_1_BASE,20,rank_linear,100,2019,24,-0.20689510023028757,-0.1650359959395732,-1.6352249695183052,-0.24466714740975215,0.27460317460317457,-0.022136318135253158
MOM12_1_BASE,20,rank_linear,100,2020,25,0.6108139106856076,0.2531264978499319,1.4441574951556388,-0.28088684243679973,0.16666666666666663,-0.002199697627247541
MOM12_1_BASE,20,rank_linear,100,2021,25,-0.21970449491314548,-0.2409412323621617,-0.8967248054217897,-0.1969078778372959,0.1803809523809524,-0.06131108157880753
MOM12_1_BASE,20,rank_linear,100,2022,25,-0.2736075949324003,-0.16299375054666276,-1.1090003289943369,-0.26772651978673057,0.22400000000000003,0.013462161456106117
MOM12_1_BASE,20,rank_linear,100,2023,24,0.10094614831185234,0.06480245763612169,0.46513341589674906,-0.2731522316196603,0.21805555555555553,-0.0038000596023804456
MOM12_1_BASE,20,rank_linear,100,2024,24,0.16363807166576083,0.17764076874195567,0.7024130100834312,-0.17389888977769297,0.2113095238095238,0.06144272473809429
MOM12_1_BASE,20,rank_linear,100,2025,25,1.179511682549749,0.41161680858198113,2.187295317104939,-0.13341147061049463,0.1653333333333333,0.05907868765906574
