factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
OPFY1_REV,PER12MF,DISLOCATION,STRESS_2025,0.012329054357831493,0.13043478260869565,0.8888888888888888,0.013635378517202937
OPFY1_REV,PER12MF,DISLOCATION,STRESS_2026,-0.018500435313757668,0.8076923076923077,0.2,0.023370821006958267
OPFY1_REV,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,-0.009196316806270532,0.7054794520547946,0.296551724137931,0.01709987649637061
OPFY1_REV,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,-0.006984179456275719,0.5957446808510638,0.40860215053763443,0.01871058474033751
OPFY1_REV,PRIVATE_FLOW,TRAIL20,STRESS_2025,-0.013509037818378644,0.2608695652173913,0.7555555555555555,-0.005412892768974762
OPFY1_REV,PRIVATE_FLOW,TRAIL20,STRESS_2026,-0.032925564442123134,0.6538461538461539,0.36,0.008897979754890442
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,0.00233858888633498,0.3287671232876712,0.6758620689655173,0.013102562846870875
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,-0.007447409309470743,0.648936170212766,0.3548387096774194,0.018007884340681807
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2025,-0.020287332000094915,0.8478260869565217,0.15555555555555556,0.03571300687218657
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2026,0.0026875982428278267,0.6153846153846154,0.4,0.03543806954589266
OPFY1_REV,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,-0.01909059020643955,0.5684931506849316,0.43448275862068964,0.029514388605919286
OPFY1_REV,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,0.053734533111644445,0.44680851063829785,0.5591397849462365,0.07906006146885947
OPFY1_REV,FOREIGN_FLOW,TRAIL20,STRESS_2025,-0.06000056800425302,1.0,0.0,0.06110193897549381
OPFY1_REV,FOREIGN_FLOW,TRAIL20,STRESS_2026,-0.013572660555448923,0.9615384615384616,0.04,0.0871008371375758
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,-0.01099643108523285,0.4315068493150685,0.5724137931034483,0.030300417696271828
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,-0.013471908583281289,0.6808510638297872,0.3225806451612903,0.014637105711630348
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2025,-0.07462887794392103,0.9347826086956522,0.06666666666666667,0.023355140034819203
