universe,state,sample,n,ret60,liq,abs_confirmed,defensive,leader_strength,fwd5,fwd20,fwd_dd20
KOSDAQ_PLUS_KOSPI_EX_K200,CONCENTRATED_TREND,TRAIN,12,0.1759449849283906,0.2887494832404977,0.28125,0.09375,0.18468906584791292,0.006348722322450793,0.04498796864637228,-0.016470031235898613
KOSDAQ_PLUS_KOSPI_EX_K200,CONCENTRATED_TREND,POST_2023,13,0.11288465554604948,0.2467601347616665,0.36538461538461536,0.11538461538461539,0.11322500289994185,-0.0015289991598697824,0.01929802198970117,-0.03397533605993374
KOSDAQ_PLUS_KOSPI_EX_K200,CONCENTRATED_TREND,NORMAL_2023_2024,6,0.0730321818236183,0.24489771547554728,0.375,0.16666666666666666,0.12029665627124893,0.005661536578198355,0.012911183184330072,-0.026873067773276027
KOSDAQ_PLUS_KOSPI_EX_K200,DEFENSIVE_WEAKNESS,TRAIN,69,-0.11093116388637406,0.3147183447321273,0.06340579710144928,0.358695652173913,0.07674362865478493,-0.0015300425913293988,0.017684347072337923,-0.047042067088685004
KOSDAQ_PLUS_KOSPI_EX_K200,DEFENSIVE_WEAKNESS,POST_2023,29,-0.1298716526415484,0.2922119725604774,0.02586206896551724,0.5043103448275862,0.07539537142940463,-0.003944200961450091,-0.0231305018978816,-0.08530031219053756
KOSDAQ_PLUS_KOSPI_EX_K200,DEFENSIVE_WEAKNESS,NORMAL_2023_2024,19,-0.09816853575380872,0.31514854626250177,0.02631578947368421,0.46710526315789475,0.06229568805218262,-0.0017732293938614388,0.00428924970645399,-0.058832748169907266
KOSDAQ_PLUS_KOSPI_EX_K200,MIXED,TRAIN,111,0.004497964223643792,0.3578480827532491,0.26914414414414417,0.12274774774774774,0.08387380841741648,-0.00076258040240695,-0.012424558688267775,-0.049198872927771996
KOSDAQ_PLUS_KOSPI_EX_K200,MIXED,POST_2023,50,0.01141693221274509,0.3365135363590146,0.3075,0.115,0.06211768516305382,0.000556552018422779,0.0020247215353535043,-0.04046271072233603
KOSDAQ_PLUS_KOSPI_EX_K200,MIXED,NORMAL_2023_2024,31,0.014063390632021135,0.33270923443744255,0.2862903225806452,0.10887096774193548,0.0668403630981729,-0.0001826346273842263,-0.011028449872710906,-0.04347545587986686
KOSDAQ_PLUS_KOSPI_EX_K200,OTHER_UPTREND,TRAIN,70,0.11534925969875118,0.3572883019313641,0.3125,0.05892857142857143,0.06755404620347612,-0.0013063328049781316,0.004492463531453508,-0.036759159462806425
KOSDAQ_PLUS_KOSPI_EX_K200,OTHER_UPTREND,POST_2023,41,0.10378377528363718,0.3356976216829104,0.2073170731707317,0.042682926829268296,0.053714927402438314,0.007822892118789757,0.0230154520017505,-0.02861615559620988
KOSDAQ_PLUS_KOSPI_EX_K200,OTHER_UPTREND,NORMAL_2023_2024,20,0.0788527968264192,0.3501133179072628,0.2125,0.0375,0.05877853900723832,0.005847759270011344,0.032751101351689405,-0.02403931413393342
KOSDAQ_PLUS_KOSPI_EX_K200,ROTATION,TRAIN,5,0.0506948593166632,0.2895272141482091,0.3,0.075,0.03974478253933343,0.015842324025262138,0.03854137816328208,-0.02316764741771469
KOSPI_ALL,BROAD_EXPANSION,TRAIN,20,0.11775392652822134,0.5389575288806747,0.5125,0.0125,0.10419059084251192,0.004904934184236926,0.010239124459397174,-0.021573652708621476
KOSPI_ALL,BROAD_EXPANSION,POST_2023,30,0.21344131498916435,0.5501518939636229,0.5583333333333333,0.008333333333333333,0.0741929505203485,0.020074113131485397,0.05967200272239332,-0.02838818916049137
KOSPI_ALL,BROAD_EXPANSION,NORMAL_2023_2024,6,0.07038310109857963,0.5065513678003096,0.4166666666666667,0.0,0.13042051428286464,-0.0020692905984624308,-0.0071699277203157484,-0.02889189434958848
