Code,Name,결산월,WICS업종명(중)
A033320,제이씨현시스템,12,기술하드웨어와장비
A033340,좋은사람들,12,내구소비재와의류
A033500,동성화인텍,12,소재
A033530,SJG세종,12,자동차와부품
A033540,파라텍,12,자본재
A033560,블루콤,12,부동산
A033640,네패스,12,반도체와반도체장비
A033780,KT&G,12,"식품,음료,담배"
A033790,피노,12,전자와 전기제품
A033830,티비씨,12,미디어와엔터테인먼트
A033920,무학,12,"식품,음료,담배"
A034020,두산에너빌리티,12,자본재
A034120,SBS,12,미디어와엔터테인먼트
A034220,LG디스플레이,12,디스플레이
A034230,파라다이스,12,"호텔,레스토랑,레저등"
A034310,NICE,12,소프트웨어와서비스
A034590,인천도시가스,12,유틸리티
A034730,SK,12,에너지
A034810,해성산업,12,소재
A034830,한국토지신탁,12,부동산
A034940,조아제약,12,제약과생물공학
A034950,한국기업평가,12,상업서비스와공급품
A035000,HS애드,12,미디어와엔터테인먼트
A035080,그래디언트,12,소매(유통)
A035150,백산,12,내구소비재와의류
A035200,프럼파스트,12,자본재
A035250,강원랜드,12,"호텔,레스토랑,레저등"
A035290,골드앤에스,12,교육서비스
A035420,NAVER,12,미디어와엔터테인먼트
A035460,기산텔레콤,12,기술하드웨어와장비
A035510,신세계 I&C,12,소프트웨어와서비스
A035600,KG이니시스,12,소프트웨어와서비스
A035610,솔본,12,건강관리장비와서비스
A035620,바른손이앤에이,12,미디어와엔터테인먼트
A035720,카카오,12,미디어와엔터테인먼트
A035760,CJ ENM,12,미디어와엔터테인먼트
A035810,이지홀딩스,12,"식품,음료,담배"
A035890,서희건설,12,자본재
A035900,JYP Ent.,12,미디어와엔터테인먼트
A036000,예림당,12,미디어와엔터테인먼트
