sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,MOM12_1,LOW,ACT5_KEEP_TOP70,10,60,-0.01031082578220377,-0.056867317487212216,-0.009102865751699052,0.21931102864955015
FULL,MOM12_1,LOW,ACT5_W10,10,60,-0.020067893818269678,-0.08819841430955501,0.022780360678162137,0.17884410257951106
FULL,MOM12_1,LOW,RAW_TA_W10,10,60,-0.0008308380539712168,0.0040192228927270306,-0.0536277460274146,0.020849420849420874
FULL,MOM12_1,LOW,TURNOVER_W10,10,60,0.017346746138698244,0.06211193093372258,0.0066964180895332515,0.04169884169884169
FULL,MOM12_1,LOW,ACT1_W10,20,0,0.021746147565357754,0.0820787476194467,0.04424277155440992,0.05711881976473418
FULL,MOM12_1,LOW,ACT5_KEEP_TOP50,20,0,0.04350426989251588,0.16841392137447517,0.1489762128872899,0.3732666796869132
FULL,MOM12_1,LOW,ACT5_KEEP_TOP70,20,0,0.04979208559799764,0.19220055447016562,0.177696147177551,0.2143172633445007
FULL,MOM12_1,LOW,ACT5_W10,20,0,0.04418841882579372,0.16444406180927199,0.12462262828133042,0.0596480026441116
FULL,MOM12_1,LOW,RAW_TA_W10,20,0,0.010766781703316353,0.04109985264998395,-0.032614323967602,0.006370656370656369
FULL,MOM12_1,LOW,TURNOVER_W10,20,0,0.023242576020008787,0.0876529045661534,0.018312199200586687,0.016216216216216245
FULL,MOM12_1,LOW,ACT1_W10,20,30,0.01702692495382141,0.06551922543870112,0.03414015432279882,0.05711881976473418
FULL,MOM12_1,LOW,ACT5_KEEP_TOP50,20,30,0.013983490920877029,0.043319487673481843,0.08786145657922584,0.3732666796869132
FULL,MOM12_1,LOW,ACT5_KEEP_TOP70,20,30,0.03220505021037823,0.11910637423922352,0.13396571579507244,0.2143172633445007
FULL,MOM12_1,LOW,ACT5_W10,20,30,0.03880738410101048,0.14716155645602524,0.1086209164889983,0.0596480026441116
FULL,MOM12_1,LOW,RAW_TA_W10,20,30,0.010080033368962238,0.03955155532760307,-0.031007888155202057,0.006370656370656369
