date,factor,direction,overlay,top_n,cost_bps,net,turnover
2016-01-04,MOM1M,HIGH,BASE,20,30,0.02442453900840073,1.0
2016-01-04,MOM1M,HIGH,BASE,20,60,0.02142453900840073,1.0
2016-01-04,MOM1M,HIGH,RAW_TA_W10,10,0,0.03475563369883401,1.0
2016-01-04,MOM1M,HIGH,RAW_TA_W10,10,30,0.03175563369883401,1.0
2016-01-04,MOM1M,HIGH,RAW_TA_W10,10,60,0.028755633698834014,1.0
2016-01-04,MOM1M,HIGH,RAW_TA_W10,20,0,0.020496729538677042,1.0
2016-01-04,MOM1M,HIGH,RAW_TA_W10,20,30,0.017496729538677043,1.0
2016-01-04,MOM1M,HIGH,RAW_TA_W10,20,60,0.014496729538677042,1.0
2016-01-04,MOM1M,HIGH,MCAP_W10,10,0,0.03565383887356408,1.0
2016-01-04,MOM1M,HIGH,MCAP_W10,10,30,0.03265383887356408,1.0
2016-01-04,MOM1M,HIGH,MCAP_W10,10,60,0.029653838873564084,1.0
2016-01-04,MOM1M,HIGH,MCAP_W10,20,0,0.02049672953867704,1.0
2016-01-04,MOM1M,HIGH,MCAP_W10,20,30,0.01749672953867704,1.0
2016-01-04,MOM1M,HIGH,MCAP_W10,20,60,0.014496729538677039,1.0
2016-01-04,MOM1M,HIGH,TURNOVER_W10,10,0,0.043471388324740026,1.0
2016-01-04,MOM1M,HIGH,TURNOVER_W10,10,30,0.040471388324740024,1.0
2016-01-04,MOM1M,HIGH,TURNOVER_W10,10,60,0.03747138832474003,1.0
2016-01-04,MOM1M,HIGH,TURNOVER_W10,20,0,0.02583220508775987,1.0
2016-01-04,MOM1M,HIGH,TURNOVER_W10,20,30,0.02283220508775987,1.0
2016-01-04,MOM1M,HIGH,TURNOVER_W10,20,60,0.019832205087759867,1.0
2016-01-04,MOM1M,HIGH,RESID_TA_W10,10,0,0.043471388324740026,1.0
2016-01-04,MOM1M,HIGH,RESID_TA_W10,10,30,0.040471388324740024,1.0
2016-01-04,MOM1M,HIGH,RESID_TA_W10,10,60,0.03747138832474003,1.0
2016-01-04,MOM1M,HIGH,RESID_TA_W10,20,0,0.021745884951554866,1.0
2016-01-04,MOM1M,HIGH,RESID_TA_W10,20,30,0.018745884951554867,1.0
2016-01-04,MOM1M,HIGH,RESID_TA_W10,20,60,0.015745884951554864,1.0
2016-01-04,MOM1M,LOW,BASE,10,0,-0.10189874864943715,1.0
2016-01-04,MOM1M,LOW,BASE,10,30,-0.10489874864943716,1.0
2016-01-04,MOM1M,LOW,BASE,10,60,-0.10789874864943716,1.0
2016-01-04,MOM1M,LOW,BASE,20,0,-0.07562201165613437,1.0
2016-01-04,MOM1M,LOW,BASE,20,30,-0.07862201165613437,1.0
2016-01-04,MOM1M,LOW,BASE,20,60,-0.08162201165613438,1.0
2016-01-04,MOM1M,LOW,RAW_TA_W10,10,0,-0.11681315779880226,1.0
2016-01-04,MOM1M,LOW,RAW_TA_W10,10,30,-0.11981315779880226,1.0
2016-01-04,MOM1M,LOW,RAW_TA_W10,10,60,-0.12281315779880227,1.0
2016-01-04,MOM1M,LOW,RAW_TA_W10,20,0,-0.07666631975041502,1.0
2016-01-04,MOM1M,LOW,RAW_TA_W10,20,30,-0.07966631975041502,1.0
2016-01-04,MOM1M,LOW,RAW_TA_W10,20,60,-0.08266631975041502,1.0
2016-01-04,MOM1M,LOW,MCAP_W10,10,0,-0.08957235854319283,1.0
