sample,factor,direction,overlay,top_n,cost_bps,return,sharpe,mdd,turnover
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,20,0,0.14332117572249303,0.60142134271597,-0.3607675536646686,0.4761627906976745
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,30,0.031927257107372764,0.2514681955228993,-0.5506175330151709,0.4615830115830116
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,20,30,0.10307192221071482,0.47877379045005436,-0.3648556252574787,0.4761627906976745
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,60,-0.0034636639808139913,0.11053478230483181,-0.5782331469518593,0.4615830115830116
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,20,60,0.06418282870312786,0.355950792893265,-0.3689243670194412,0.4761627906976745
FULL,MOM12_1,HIGH,BASE,10,0,0.09107208226564101,0.4270056054469613,-0.5071689730510789,0.2193050193050193
OOS_2023_PLUS,MOM12_1,HIGH,BASE,10,0,0.44071469589075796,1.0796500160499745,-0.4408518307789513,0.19767441860465115
FULL,MOM12_1,HIGH,BASE,10,30,0.0731101034910655,0.3771629328683098,-0.5363180524662272,0.2193050193050193
OOS_2023_PLUS,MOM12_1,HIGH,BASE,10,30,0.4195597696211144,1.0439832123627535,-0.4425490257118678,0.19767441860465115
FULL,MOM12_1,HIGH,BASE,10,60,0.0554291703120775,0.3273488880574766,-0.5637664800908884,0.2193050193050193
OOS_2023_PLUS,MOM12_1,HIGH,BASE,10,60,0.3987007843658852,1.0083138715483269,-0.44424247696804364,0.19767441860465115
FULL,MOM12_1,HIGH,BASE,20,0,0.09774835434454676,0.46863823847354463,-0.4817416371859974,0.19729729729729728
OOS_2023_PLUS,MOM12_1,HIGH,BASE,20,0,0.3688096958974021,1.0529053324894337,-0.40030790519160164,0.17965116279069765
FULL,MOM12_1,HIGH,BASE,20,30,0.08150781823471753,0.41646692960283704,-0.5033579503189685,0.19729729729729728
OOS_2023_PLUS,MOM12_1,HIGH,BASE,20,30,0.35053558823032716,1.0151611879138904,-0.4013695923281213,0.17965116279069765
FULL,MOM12_1,HIGH,BASE,20,60,0.06549608986906308,0.36431591777489336,-0.5354620128023118,0.19729729729729728
OOS_2023_PLUS,MOM12_1,HIGH,BASE,20,60,0.33249456123774257,0.9774084046881212,-0.40243003262416666,0.17965116279069765
FULL,MOM12_1,HIGH,MCAP_W10,10,0,0.06411344914929917,0.351395701442293,-0.5685292082833853,0.21428571428571427
OOS_2023_PLUS,MOM12_1,HIGH,MCAP_W10,10,0,0.45071044685054384,1.087280127612397,-0.41040909002355874,0.1825581395348837
FULL,MOM12_1,HIGH,MCAP_W10,10,30,0.04701257850772378,0.3015397689443336,-0.5921194173205542,0.21428571428571427
OOS_2023_PLUS,MOM12_1,HIGH,MCAP_W10,10,30,0.4310058997896282,1.0544673860104625,-0.4114137950773624,0.1825581395348837
FULL,MOM12_1,HIGH,MCAP_W10,10,60,0.030171891328695022,0.25169292998300374,-0.6144392909866431,0.21428571428571427
OOS_2023_PLUS,MOM12_1,HIGH,MCAP_W10,10,60,0.41155483163187534,1.021659467077032,-0.41241726037043136,0.1825581395348837
FULL,MOM12_1,HIGH,MCAP_W10,20,0,0.07006386468498071,0.379501094149625,-0.4985197276629978,0.19150579150579147
OOS_2023_PLUS,MOM12_1,HIGH,MCAP_W10,20,0,0.360352308749079,1.0249217183023678,-0.4281070148362297,0.1738372093023256
FULL,MOM12_1,HIGH,MCAP_W10,20,30,0.0546756784074669,0.3285830131556399,-0.5292676444949582,0.19150579150579147
OOS_2023_PLUS,MOM12_1,HIGH,MCAP_W10,20,30,0.34270336283837755,0.9885785068969645,-0.4296558937694026,0.1738372093023256
FULL,MOM12_1,HIGH,MCAP_W10,20,60,0.039497994877704334,0.27769116249179887,-0.5581505906139611,0.19150579150579147
OOS_2023_PLUS,MOM12_1,HIGH,MCAP_W10,20,60,0.3252727063634766,0.9522525615327063,-0.43120180348775605,0.1738372093023256
FULL,MOM12_1,HIGH,RAW_TA_W10,10,0,0.11209799503648732,0.48215871979994884,-0.5016520763743635,0.21814671814671815
OOS_2023_PLUS,MOM12_1,HIGH,RAW_TA_W10,10,0,0.5133900173087587,1.1688201364080533,-0.4106976942882824,0.1988372093023256
FULL,MOM12_1,HIGH,RAW_TA_W10,10,30,0.09388479862346322,0.4326911006111577,-0.5297585069480373,0.21814671814671815
OOS_2023_PLUS,MOM12_1,HIGH,RAW_TA_W10,10,30,0.4909910732658995,1.1337740277174921,-0.4121233076335432,0.1988372093023256
FULL,MOM12_1,HIGH,RAW_TA_W10,10,60,0.075954409329972,0.38326400396857957,-0.5563038194703462,0.21814671814671815
OOS_2023_PLUS,MOM12_1,HIGH,RAW_TA_W10,10,60,0.4689075474095252,1.0987468415923554,-0.41354640108511853,0.1988372093023256
FULL,MOM12_1,HIGH,RAW_TA_W10,20,0,0.08837792388790366,0.43800142789112145,-0.4691808630202011,0.19575289575289576
OOS_2023_PLUS,MOM12_1,HIGH,RAW_TA_W10,20,0,0.37332794103736555,1.0515539444283148,-0.4335514972702208,0.17325581395348838
FULL,MOM12_1,HIGH,RAW_TA_W10,20,30,0.07237977244459293,0.3863954247716226,-0.49454216321465927,0.19575289575289576
OOS_2023_PLUS,MOM12_1,HIGH,RAW_TA_W10,20,30,0.35558729520318777,1.0153829874489508,-0.43508166158504813,0.17325581395348838
FULL,MOM12_1,HIGH,RAW_TA_W10,20,60,0.056605389447357934,0.33482874814129465,-0.5267467618983293,0.19575289575289576
OOS_2023_PLUS,MOM12_1,HIGH,RAW_TA_W10,20,60,0.3380653406923462,0.9792262629715002,-0.4366087360077042,0.17325581395348838
FULL,MOM12_1,HIGH,RESID_TA_W10,10,0,0.11281536122170688,0.47873711385629064,-0.5482660865593905,0.25019305019305016
OOS_2023_PLUS,MOM12_1,HIGH,RESID_TA_W10,10,0,0.4894779382576775,1.1261811332939675,-0.4559192392023762,0.24883720930232556
FULL,MOM12_1,HIGH,RESID_TA_W10,10,30,0.09193497414886154,0.4243496642851129,-0.5780401101675983,0.25019305019305016
OOS_2023_PLUS,MOM12_1,HIGH,RESID_TA_W10,10,30,0.46193184653263075,1.0829298126413422,-0.45841502699456105,0.24883720930232556
FULL,MOM12_1,HIGH,RESID_TA_W10,10,60,0.07142746329072991,0.3700005299800144,-0.6058780142979237,0.25019305019305016
OOS_2023_PLUS,MOM12_1,HIGH,RESID_TA_W10,10,60,0.4348716137676989,1.03969556181515,-0.4609028869224433,0.24883720930232556
FULL,MOM12_1,HIGH,RESID_TA_W10,20,0,0.09887262689958831,0.46787057426257805,-0.48235950013487205,0.20289575289575287
OOS_2023_PLUS,MOM12_1,HIGH,RESID_TA_W10,20,0,0.38819019802345034,1.065686046045784,-0.4167525413883082,0.18604651162790695
FULL,MOM12_1,HIGH,RESID_TA_W10,20,30,0.08214538551994055,0.4153834454071749,-0.5152666799296283,0.20289575289575287
