sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,OP12_REV,HIGH,MCAP_W10,10,30,0.005192826167259801,-0.013847644144833748,-0.04098537448619266,-0.018918918918918892
FULL,OP12_REV,HIGH,RAW_TA_W10,10,30,-0.015393347003030078,-0.07826187574345056,-0.08764041412956136,0.0038610038610038533
FULL,OP12_REV,HIGH,RESID_TA_W10,10,30,-0.025059619757743956,-0.10036879682716526,-0.05782134431826258,0.03281853281853281
FULL,OP12_REV,HIGH,TURNOVER_W10,10,30,-0.031226911685127368,-0.12493457412174391,-0.07486492569407754,0.03436293436293436
FULL,OP12_REV,HIGH,MCAP_W10,10,60,0.006640979166660177,0.0018330831047781437,-0.03485685991359222,-0.018918918918918892
FULL,OP12_REV,HIGH,RAW_TA_W10,10,60,-0.01516994296636942,-0.07045098233203623,-0.10625846443841713,0.0038610038610038533
FULL,OP12_REV,HIGH,RESID_TA_W10,10,60,-0.02686832466033784,-0.10564770789868838,-0.08569036623733395,0.03281853281853281
FULL,OP12_REV,HIGH,TURNOVER_W10,10,60,-0.032945371437217874,-0.12918772026394199,-0.09780459464795355,0.03436293436293436
FULL,OP12_REV,HIGH,MCAP_W10,20,0,0.01757341018619507,0.061969745480585425,0.0062321915974381525,-0.005984555984555995
FULL,OP12_REV,HIGH,RAW_TA_W10,20,0,0.03746959848320475,0.1362789203975644,0.03343169973508908,-0.00617760617760621
FULL,OP12_REV,HIGH,RESID_TA_W10,20,0,0.014499721922802022,0.04847323810668036,0.0023713566889793647,0.0025096525096525157
FULL,OP12_REV,HIGH,TURNOVER_W10,20,0,0.02053185586124684,0.07131516837822438,0.025470755429862435,0.0009652509652509633
FULL,OP12_REV,HIGH,MCAP_W10,20,30,0.01758003458081392,0.06551945984745777,0.014687878327422577,-0.005984555984555995
FULL,OP12_REV,HIGH,RAW_TA_W10,20,30,0.03689819978607112,0.13960143861575314,0.04075508182474519,-0.00617760617760621
FULL,OP12_REV,HIGH,RESID_TA_W10,20,30,0.013858663102618518,0.04960254597279923,0.009644899065469503,0.0025096525096525157
FULL,OP12_REV,HIGH,TURNOVER_W10,20,30,0.019846517791459073,0.07287878069449671,0.0131018873080877,0.0009652509652509633
FULL,OP12_REV,HIGH,MCAP_W10,20,60,0.017570886843822464,0.06899612696077917,0.022069046143736948,-0.005984555984555995
FULL,OP12_REV,HIGH,RAW_TA_W10,20,60,0.036327188222334605,0.1429441279024406,0.04392800879527792,-0.00617760617760621
FULL,OP12_REV,HIGH,RESID_TA_W10,20,60,0.013242342350887615,0.050764580554753524,0.02554952670845545,0.0025096525096525157
FULL,OP12_REV,HIGH,TURNOVER_W10,20,60,0.019183180831867874,0.07446497930348595,0.012865363155589504,0.0009652509652509633
FULL,OP12_REV,LOW,MCAP_W10,10,0,0.018166751652880397,0.06912400515815853,0.06522968645503813,-0.010038610038609841
FULL,OP12_REV,LOW,RAW_TA_W10,10,0,0.026052972452572543,0.1029324360356218,0.06974885202541747,0.0011583011583012892
FULL,OP12_REV,LOW,RESID_TA_W10,10,0,-0.03568725023351638,-0.1287429735440357,-0.07129818994924153,0.01853281853281863
FULL,OP12_REV,LOW,TURNOVER_W10,10,0,-0.035484545136358014,-0.12925987573237466,-0.07263476469048524,0.019691119691119807
FULL,OP12_REV,LOW,MCAP_W10,10,30,0.01816618513529744,0.06552283714151079,0.032525753208582864,-0.010038610038609841
FULL,OP12_REV,LOW,RAW_TA_W10,10,30,0.024920728699018846,0.10524118871672897,0.05456885278687418,0.0011583011583012892
FULL,OP12_REV,LOW,RESID_TA_W10,10,30,-0.035645390032242874,-0.12608001492999546,-0.14958362583691298,0.01853281853281863
FULL,OP12_REV,LOW,TURNOVER_W10,10,30,-0.035522920686534176,-0.12793073694581103,-0.1526649759635229,0.019691119691119807
FULL,OP12_REV,LOW,MCAP_W10,10,60,0.018138016750737784,0.06218969222205961,0.0293085041637986,-0.010038610038609841
FULL,OP12_REV,LOW,RAW_TA_W10,10,60,0.02383510759917762,0.10775026211811574,0.030689738095042607,0.0011583011583012892
FULL,OP12_REV,LOW,RESID_TA_W10,10,60,-0.035549488773857885,-0.12329640007850096,-0.12298240312382769,0.01853281853281863
FULL,OP12_REV,LOW,TURNOVER_W10,10,60,-0.03550117433082256,-0.1265244403847099,-0.12850620212906638,0.019691119691119807
FULL,OP12_REV,LOW,MCAP_W10,20,0,-0.003887245321101185,-0.017365487460475254,0.010513487277144185,0.0013513513513513375
