universe,strategy,period,cost_bp,n_phases,median_cagr,median_mdd,median_sharpe,median_benchmark_cagr,median_excess_cagr,median_information_ratio,median_relative_mdd,median_turnover,positive_cagr_phases,positive_excess_phases
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,BULL_2025,30,10,0.3901245744421269,-0.23382478613911073,1.1296825275281492,0.3840265641669287,0.004405992220871513,0.16311391731332364,-0.26876793985153297,13.20816696411846,10,5
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,BULL_2025,60,10,0.33649698655160554,-0.23815603445115097,1.014245316714507,0.3840265641669287,-0.03434152121489914,0.01850559111637483,-0.2865835508697026,13.20816696411846,10,4
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,0,10,-0.03181408373814415,-0.5460867697170368,0.07460104503788142,0.011691562079447548,-0.04223194151202658,-0.009949252490902007,-0.4463420441636641,12.027105721472271,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,30,10,-0.06653636214809394,-0.5691926122628272,-0.034422750350605505,0.011691562079447548,-0.07668562333816603,-0.15661225020392422,-0.4640330644925123,12.027105721472271,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,60,10,-0.10015346776781947,-0.5856936572623018,-0.1433396894324266,0.011691562079447548,-0.10994976160525644,-0.3030182856775818,-0.4814639400169024,12.027105721472271,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,0,10,-0.05921141287005832,-0.5560126904496748,0.03755932504604574,0.013997469223865577,-0.07219828876886641,-0.10536600245879575,-0.45561690150300826,12.574292557006014,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,30,10,-0.09416109774736448,-0.573462133764379,-0.05864995801600134,0.013997469223865577,-0.10666551964278254,-0.22682388915905993,-0.49352178559426113,12.574292557006014,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,60,10,-0.12786430257963227,-0.5977678320361859,-0.1542817322925415,0.013997469223865577,-0.13990347718725843,-0.34490485911677216,-0.534486702149129,12.574292557006014,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,NORMAL_2023_2024,0,10,-0.08658429487201763,-0.6042265019430619,-0.019085492127393276,0.02267624444940619,-0.10683785793836181,-0.17947318646204727,-0.47783494116079367,12.188449718898545,1,1
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,NORMAL_2023_2024,30,10,-0.11940444352446489,-0.6268762681772899,-0.10869415794646844,0.02267624444940619,-0.13893027118310108,-0.3015963943318968,-0.5079753584722315,12.188449718898545,1,1
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,NORMAL_2023_2024,60,10,-0.15109177268184631,-0.6482606590550943,-0.19813337968994665,0.02267624444940619,-0.16991498343134687,-0.423239234079033,-0.5365158179630805,12.188449718898545,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,0,10,-0.05845258561734973,-0.6768379750959352,0.032684986495382,0.015297762999237574,-0.07335913954370171,-0.09487504067810965,-0.5664128191007111,12.278052887167739,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,30,10,-0.09263829501034682,-0.7369470183206274,-0.06432380870742428,0.015297762999237574,-0.10700374805224411,-0.2215387281262591,-0.6577838479869076,12.278052887167739,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,60,10,-0.12563235233809456,-0.7931141401651767,-0.16129227722827638,0.015297762999237574,-0.13947556194294286,-0.34802709600677634,-0.7310594487349535,12.278052887167739,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,YTD_2026,0,10,-0.32688011088261293,-0.6369427490481361,-0.070875033469928,-0.16386812075282986,-0.1949596638709138,-0.03560291183945267,-0.37233200762813207,11.540503979290213,0,1
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,YTD_2026,30,10,-0.3492944669865232,-0.6396520595864965,-0.11169556270315947,-0.16386812075282986,-0.22176686577319127,-0.10338106431849911,-0.37640208403300246,11.540503979290213,0,1
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,YTD_2026,60,10,-0.37099245178883,-0.6421157779886575,-0.1524775775108196,-0.16386812075282986,-0.24771729936010667,-0.17107033200639915,-0.3804496521640508,11.540503979290213,0,0
