universe,horizon,topn,sample,family,n_dates,gross_delta,positive_date_rate
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,NORMAL_2023_2024,REVISION,97,-0.0005210505631498289,0.4742268041237113
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,NORMAL_2023_2024,VALUE,97,0.0005150764214423037,0.5463917525773195
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,YTD_2026,FLOW,28,0.0025725043566084504,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,YTD_2026,MOMENTUM,28,0.012256361420112908,0.6428571428571429
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,YTD_2026,REVISION,28,0.0024007142854863273,0.6785714285714286
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,YTD_2026,VALUE,28,-0.0020187788654125313,0.35714285714285715
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,BULL_2025,FLOW,49,0.0008924014519384197,0.46938775510204084
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,BULL_2025,MOMENTUM,49,0.0016947974545535214,0.42857142857142855
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,BULL_2025,REVISION,49,0.001047168432995901,0.5510204081632653
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,BULL_2025,VALUE,49,0.0015389745550981918,0.5918367346938775
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,EARLY_2016_2019,FLOW,196,0.0015163512335342774,0.6224489795918368
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,EARLY_2016_2019,MOMENTUM,196,0.0014503188499345085,0.5663265306122449
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,EARLY_2016_2019,REVISION,196,-0.00036609582639641857,0.46938775510204084
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,EARLY_2016_2019,VALUE,196,0.0005717904124472453,0.5102040816326531
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,LATE_2020_2022,FLOW,149,0.002366516528139931,0.5771812080536913
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,LATE_2020_2022,MOMENTUM,149,0.0007075831590634269,0.5436241610738255
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,LATE_2020_2022,REVISION,149,0.0015426680068626032,0.5704697986577181
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,LATE_2020_2022,VALUE,149,0.0010396697531630682,0.5570469798657718
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,NORMAL_2023_2024,FLOW,97,-8.07870599945542e-05,0.5567010309278351
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,NORMAL_2023_2024,MOMENTUM,97,0.0025942058382768768,0.5876288659793815
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,NORMAL_2023_2024,REVISION,97,0.0003501934419031326,0.5154639175257731
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,NORMAL_2023_2024,VALUE,97,0.0006333695360728216,0.5876288659793815
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,YTD_2026,FLOW,28,0.0008364920346347035,0.5357142857142857
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,YTD_2026,MOMENTUM,28,0.00564974085529061,0.6071428571428571
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,YTD_2026,REVISION,28,0.0003162751329221157,0.6428571428571429
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,YTD_2026,VALUE,28,-0.00033382633467841076,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,BULL_2025,FLOW,25,0.005903542630787711,0.48
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,BULL_2025,MOMENTUM,25,0.013402113231633308,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,BULL_2025,REVISION,25,-0.003178290514533117,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,BULL_2025,VALUE,25,0.0037061283500828325,0.56
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,EARLY_2016_2019,FLOW,98,0.004342546839586467,0.6326530612244898
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,EARLY_2016_2019,MOMENTUM,98,0.0018550123375547175,0.6122448979591837
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,EARLY_2016_2019,REVISION,98,0.00014269066649644094,0.5204081632653061
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,EARLY_2016_2019,VALUE,98,0.002207051152489804,0.5408163265306123
