date,universe,factor,family,horizon,topn,strategy,gross,turnover,sample
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,5,10,CROSS_FAMILY_W20,0.005874469309742279,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,5,20,BASE,-0.0046231882318566895,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,5,20,CROSS_FAMILY_W20,-0.012401314718986717,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,5,10,BASE,-0.01549052924290278,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,5,10,CROSS_FAMILY_W20,-0.0018557080627617135,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,5,20,BASE,-0.019534873197362822,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,5,20,CROSS_FAMILY_W20,-0.019534873197362822,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,5,10,BASE,-0.009858095238059065,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.011681193570134696,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,5,20,BASE,-0.02332111676738359,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.022452373543357225,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,5,10,BASE,-0.030274063296337517,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.01274678937550745,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,5,20,BASE,-0.021993320171981374,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.017775695008952586,1.0,EARLY_2016_2019
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,5,10,BASE,-0.01198700620174822,1.0,EARLY_2016_2019
