universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight,median_missing_return_weight
KOSDAQ,AMIHUD20_TOP05,FULL_2016_2026,60,10,0.04239765322642963,0.04402267848428483,0.025200920567084006,-0.5066335095933253,-0.5369992255871805,0.2885908863775979,0.22987579468690406,9.745325408267494,90.75968992248062,0.03373304263565892,0.0
KOSDAQ,AMIHUD20_TOP05,LATE_2020_2022,0,10,0.05703873945196147,0.056846470275863495,0.035183959867747916,-0.40333818960612694,-0.41780699604482696,0.33589307940497803,0.2648670753907801,10.290082451098112,94.6554054054054,0.03292736486486486,0.0
KOSDAQ,AMIHUD20_TOP05,LATE_2020_2022,30,10,0.024759205911438653,0.02475293067861024,0.004116785718195626,-0.40680318724240244,-0.4212405670373711,0.23068593390875647,0.16137897233052537,10.290082451098112,94.6554054054054,0.03292736486486486,0.0
KOSDAQ,AMIHUD20_TOP05,LATE_2020_2022,60,10,-0.006572931788604575,-0.006404017267716488,-0.02605460564118023,-0.4143975743850253,-0.4348868867963267,0.1255549605913019,0.057865968438909315,10.290082451098112,94.6554054054054,0.03292736486486486,0.0
KOSDAQ,AMIHUD20_TOP05,NORMAL_2023_2024,0,10,0.07315317469831717,0.06337114194414026,0.009280516530132399,-0.33605461104032325,-0.36376563369844783,0.4076777182931781,0.16301061703127762,10.076841208718292,97.60204081632654,0.0305484693877551,0.0
KOSDAQ,AMIHUD20_TOP05,NORMAL_2023_2024,30,10,0.04104034577607929,0.031650807815249114,-0.02108540717611418,-0.344741697482301,-0.37272254953411244,0.28680147777998377,0.040690163499911565,10.076841208718292,97.60204081632654,0.0305484693877551,0.0
KOSDAQ,AMIHUD20_TOP05,NORMAL_2023_2024,60,10,0.009851172172320899,0.0008398135064041634,-0.05057321792842606,-0.35332474288226073,-0.38156386549216037,0.16569535896343657,-0.08148758772641439,10.076841208718292,97.60204081632654,0.0305484693877551,0.0
KOSDAQ,AMIHUD20_TOP05,PRE_STRESS_2016_2024,0,10,0.05076054582909517,0.05198150270702255,0.027025851576429005,-0.45938048660193026,-0.48780719045462473,0.3233024185270188,0.23223380649583997,9.609785689183731,89.62785388127854,0.034168547633872975,0.0
KOSDAQ,AMIHUD20_TOP05,PRE_STRESS_2016_2024,30,10,0.02094768976282546,0.022083153076360572,-0.0022482946763200395,-0.4835347154560446,-0.5130105820994205,0.20857781014055746,0.11637984902451826,9.609785689183731,89.62785388127854,0.034168547633872975,0.0
KOSDAQ,AMIHUD20_TOP05,PRE_STRESS_2016_2024,60,10,-0.008026810971560217,-0.006999245530685349,-0.0307210864538896,-0.5066335095933253,-0.5369992255871805,0.09365601407103039,0.0005632043842052671,9.609785689183731,89.62785388127854,0.034168547633872975,0.0
KOSDAQ,AMIHUD20_TOP05,YTD_2026,0,10,0.10544182881964959,0.09125376845963058,-0.08390357659249847,-0.44479782948882196,-0.46306000124805546,0.4659381522821504,0.1597681536111229,11.116751546158769,99.93333333333334,0.02875,0.0
KOSDAQ,AMIHUD20_TOP05,YTD_2026,30,10,0.06974667718934013,0.05578823129116717,-0.11425974292299867,-0.44820698586714647,-0.46637486569698305,0.41179685920210546,0.10523469880104042,11.116751546158769,99.93333333333334,0.02875,0.0
KOSDAQ,AMIHUD20_TOP05,YTD_2026,60,10,0.03516030664295311,0.021431294791737776,-0.14364865545874406,-0.4515994190443385,-0.46967344637419106,0.35760381170350297,0.05082557208186328,11.116751546158769,99.93333333333334,0.02875,0.0
KOSDAQ,CF20,BULL_2025,0,10,0.7335815672492727,0.7714559954757667,0.6698198784254557,-0.1546507585853727,-0.1663476443247348,2.505349199175026,2.373415766334018,10.165271990244198,95.8125,0.032421875,0.0
KOSDAQ,CF20,BULL_2025,30,10,0.6801776456991472,0.7177813685720515,0.6196041634361718,-0.1577359228018147,-0.16946425601296422,2.3696272321374794,2.2362865781351653,10.165271990244198,95.8125,0.032421875,0.0
KOSDAQ,CF20,BULL_2025,60,10,0.6283569257452306,0.6656704207821542,0.5708393566489294,-0.16120164310052443,-0.1725731147346884,2.236144343923103,2.098169156657948,10.165271990244198,95.8125,0.032421875,0.0
KOSDAQ,CF20,EARLY_2016_2019,0,10,0.027291738111649755,0.031633788354878845,0.00695183898859808,-0.3209310099713299,-0.3340363393332497,0.23363078992045608,0.13895994010859225,8.827214663790134,81.93229166666667,0.036848958333333334,0.0
KOSDAQ,CF20,EARLY_2016_2019,30,10,0.0004037439342881033,0.004656149660589537,-0.01929940247599149,-0.3352813176768835,-0.35653991226131243,0.10718226414035695,0.014194881082565669,8.827214663790134,81.93229166666667,0.036848958333333334,0.0
