"Code","Name","ALL","KOSPI","KOSPI200","KOSPI-삼닉"
"A030210","다올투자증권","1","1","0","1"
"A030350","드래곤플라이","1","0","0","0"
"A030520","한글과컴퓨터","1","0","0","0"
"A030530","원익홀딩스","1","0","0","0"
"A030610","교보증권","1","1","0","1"
"A030720","동원수산","1","1","0","1"
"A030960","양지사","1","0","0","0"
"A031210","서울보증보험","1","0","0","0"
"A031310","아이즈비전","1","0","0","0"
"A031330","에스에이엠티","1","0","0","0"
"A031430","신세계인터내셔날","1","1","1","1"
"A031440","신세계푸드","1","1","0","1"
"A031510","오스템","1","0","0","0"
"A031820","아이티센씨티에스","1","1","0","1"
"A031860","디에이치엑스컴퍼니","1","0","0","0"
"A031980","피에스케이홀딩스","1","0","0","0"
"A032080","아즈텍WB","1","0","0","0"
"A032190","다우데이타","1","0","0","0"
"A032280","삼일","1","0","0","0"
"A032300","한국파마","1","0","0","0"
"A032350","롯데관광개발","1","1","1","1"
"A032500","케이엠더블유","1","0","0","0"
"A032540","TJ미디어","1","0","0","0"
"A032560","황금에스티","1","1","0","1"
"A032580","피델릭스","1","0","0","0"
"A032620","GC메디아이","1","0","0","0"
"A032640","LG유플러스","1","1","1","1"
