sample,universe,horizon,metric,series,n_pos_rule,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM,>=1,62,0.0011766971417299166,0.001807994420900285,0.5483870967741935,0.3233330082890812
TRAIN_2016_2022,KOSPI_EX_K200,5,spread,POS_ALT,>=1,62,0.0010890185618125951,0.002741801210715017,0.5483870967741935,0.43484718691717106
TRAIN_2016_2022,KOSPI_EX_K200,5,spread,MOM,>=1,62,0.0015504862517565692,0.0010242041410162,0.532258064516129,0.4100900852475568
TRAIN_2016_2022,KOSPI_EX_K200,5,spread,POS_ALT_MINUS_MOM,>=1,62,-0.00046146768994397393,-0.001108043299813368,0.46774193548387094,-0.09345569422110526
TRAIN_2016_2022,KOSPI_EX_K200,20,top,POS_ALT,>=1,62,0.004158571252169407,0.014682950327156507,0.5483870967741935,0.3965466344321986
TRAIN_2016_2022,KOSPI_EX_K200,20,top,MOM,>=1,62,-0.0006352552043990616,-0.015044531104798975,0.43548387096774194,-0.0563536208875256
TRAIN_2016_2022,KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM,>=1,62,0.00479382645656847,0.008115001092033669,0.5483870967741935,0.6622455224443827
TRAIN_2016_2022,KOSPI_EX_K200,20,spread,POS_ALT,>=1,62,-0.0005164887154166614,-0.0026592464817545474,0.43548387096774194,-0.12943822045158965
TRAIN_2016_2022,KOSPI_EX_K200,20,spread,MOM,>=1,62,-0.00488641231284818,-0.005243397959010632,0.45161290322580644,-0.4942123764391861
TRAIN_2016_2022,KOSPI_EX_K200,20,spread,POS_ALT_MINUS_MOM,>=1,62,0.004369923597431519,0.0005898688761049233,0.5,0.4295786298524137
TRAIN_2016_2022,KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM_BY_N,1,15,0.003597098846104769,0.0026279874890436997,0.6,0.42400670741034036
TRAIN_2016_2022,KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM_BY_N,1,15,0.018900295506236345,0.036565535954171446,0.6,1.8374916626782063
TRAIN_2016_2022,KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM_BY_N,2,14,0.012481171211882466,0.00844023311926203,0.7142857142857143,1.8279835800934638
TRAIN_2016_2022,KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM_BY_N,2,14,0.013596607747496483,0.010601042429365853,0.6428571428571429,2.1329737416214813
TRAIN_2016_2022,KOSPI_EX_K200,5,top,POS_ALT_MINUS_MOM_BY_N,3,33,-0.004719322935474885,-0.0036142669033647004,0.45454545454545453,-1.0369599777608443
TRAIN_2016_2022,KOSPI_EX_K200,20,top,POS_ALT_MINUS_MOM_BY_N,3,33,-0.005352718204583358,-4.8631600514233327e-05,0.48484848484848486,-0.8347751005049584
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,top,POS_ALT,>=1,46,0.007849402621796226,0.008297243363339774,0.6739130434782609,2.338134421746705
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,5,top,MOM,>=1,46,0.005632312318220753,0.0085467229464681,0.5869565217391305,1.1789611246190432
