date,phase,universe,factor,strategy,codes
2016-01-20,2,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A000990|A139130|A183190|A200880|A043370|A175330|A089470|A023410|A192440|A006840|A028670|A030530|A102260|A005880|A018670|A082640
2016-01-20,2,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A011760|A013120|A183190|A036830|A015750|A175330|A023410|A029460|A139130|A043370|A102260|A089470|A052790|A006840|A004430|A030530|A028670|A192440
2016-01-20,2,KOSPI_ALL,PER12MF,BASE,A011760|A004800|A003300|A003030|A138930|A000990|A005850|A139130|A086790|A183190|A015760|A200880|A006650|A047050|A175330|A001430|A005380|A089470|A024110|A104700
2016-01-20,2,KOSPI_ALL,PER12MF,CF20,A000990|A200880|A015760|A011760|A183190|A005850|A004800|A086790|A006650|A003300|A175330|A120110|A003030|A139130|A138930|A089470|A102260|A104700|A006840|A029460
2016-01-20,2,KOSPI_ALL,PRIVATE_FLOW,BASE,A001520|A192820|A000070|A000640|A006060|A012630|A111770|A204320|A009450|A000720|A192400|A060980|A047810|A108670|A009240|A097950|A020000|A005490|A093370|A001040
2016-01-20,2,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A000640|A000070|A192820|A012630|A009450|A000720|A000990|A204320|A020000|A060980|A111770|A009240|A192400|A097950|A028050|A200880|A093370|A001040
2016-01-21,3,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A017390|A052790|A067000|A002020|A196170|A009420|A067390|A141000|A006360|A036930|A182400|A054620|A114810|A036030|A053030|A002320
2016-01-21,3,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A213420|A194480|A036930|A017390|A002020|A052790|A196170|A112040|A141000|A006360|A067000|A063080|A054620|A064760|A060720|A004430|A002320|A053030|A041910
2016-01-21,3,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A000990|A139130|A183190|A200880|A043370|A175330|A023410|A089470|A192440|A006840|A030530|A102260|A052790|A005880|A028670|A018670
2016-01-21,3,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A013120|A011760|A200880|A183190|A036830|A015750|A175330|A023410|A052790|A102260|A139130|A043370|A029460|A089470|A006840|A030530|A004430|A000370|A192440
2016-01-21,3,KOSPI_ALL,PER12MF,BASE,A011760|A004800|A003300|A003030|A138930|A000990|A005850|A139130|A015760|A183190|A086790|A200880|A006650|A175330|A005380|A104700|A089470|A001430|A024110|A047050
2016-01-21,3,KOSPI_ALL,PER12MF,CF20,A000990|A015760|A200880|A011760|A183190|A005850|A004800|A175330|A003300|A086790|A006650|A003030|A120110|A139130|A102260|A104700|A138930|A089470|A006840|A000720
2016-01-21,3,KOSPI_ALL,PRIVATE_FLOW,BASE,A192820|A001520|A000070|A000640|A006060|A012630|A111770|A204320|A108670|A000720|A009450|A060980|A192400|A009240|A069960|A006360|A020000|A047810|A097950|A093370
2016-01-21,3,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A000070|A000640|A192820|A000720|A012630|A000990|A204320|A009450|A006360|A020000|A060980|A111770|A009240|A028050|A069960|A192400|A097950|A002320
2016-01-22,4,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A017390|A052790|A067000|A002020|A196170|A009420|A067390|A141000|A182400|A006360|A036930|A054620|A114810|A036030|A053030|A002320
2016-01-22,4,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A009420|A213420|A194480|A052790|A036930|A017390|A002020|A196170|A112040|A141000|A067000|A063080|A054620|A006360|A064760|A060720|A004430|A002320|A053030|A041910
2016-01-22,4,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A013120|A015750|A000990|A139130|A183190|A200880|A043370|A175330|A023410|A089470|A030530|A192440|A006840|A028670|A005880|A102260|A029460|A082640
2016-01-22,4,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A036830|A011760|A013120|A183190|A015750|A175330|A023410|A029460|A006840|A139130|A102260|A030530|A043370|A089470|A000370|A052790|A192440|A028670
