sample,return_type,horizon,breadth_transition,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
BULL_2025,NET60,10,HIGH_PERSIST,17,0.030148494596538684,0.019717122238404917,0.8235294117647058,0.03281741463242265
BULL_2025,NET60,10,NON_HIGH,27,0.007998450964871326,-0.005576707889819799,0.4444444444444444,0.03474270152940937
BULL_2025,NET60,20,HIGH_ENTRY,5,0.05311799179580107,0.10103055989098172,0.6,0.08109873444423256
BULL_2025,NET60,20,HIGH_PERSIST,17,0.04631251173811393,0.03604253265173459,0.8823529411764706,0.049823248771821704
BULL_2025,NET60,20,NON_HIGH,27,0.037354017196604423,0.020131226942907487,0.6296296296296297,0.06534056336791973
OOS_2023_2024,GROSS,5,HIGH_ENTRY,10,0.009912606092225645,0.011873828555055428,0.7,0.019823749578583537
OOS_2023_2024,GROSS,5,HIGH_PERSIST,29,-0.0034988322776264443,0.001302364921645338,0.5172413793103449,0.025661859957528205
OOS_2023_2024,GROSS,5,NON_HIGH,58,0.004540980252030501,0.005017306355520857,0.6379310344827587,0.021957925087574274
OOS_2023_2024,GROSS,10,HIGH_ENTRY,10,0.007277831833237212,0.008841933031175399,0.6,0.02519111120119344
OOS_2023_2024,GROSS,10,HIGH_PERSIST,29,-0.0007154285371898362,-0.0001010820677221136,0.4827586206896552,0.03979944887358916
OOS_2023_2024,GROSS,10,NON_HIGH,58,0.007977933116955218,0.009652191139880854,0.6379310344827587,0.02704157512724285
OOS_2023_2024,GROSS,20,HIGH_ENTRY,10,0.008030987474405648,0.017063474001464112,0.7,0.05412664417644917
OOS_2023_2024,GROSS,20,HIGH_PERSIST,29,0.009732967043255287,-0.005128524568398818,0.4482758620689655,0.055063614206039266
OOS_2023_2024,GROSS,20,NON_HIGH,58,0.01039297559376434,0.011973968882134384,0.6551724137931034,0.03784850576351332
OOS_2023_2024,NET30,5,HIGH_ENTRY,10,0.009099696911149013,0.01112214735846299,0.7,0.019554882209971078
