sample,return_type,horizon,high_revision_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
TRAIN_2016_2022,NET60,5,HIGH|R+,2,0.03221465333697117,0.03221465333697117,1.0,0.03221465333697117
TRAIN_2016_2022,NET60,5,HIGH|R-,5,0.00201395142767367,-0.004095563805580638,0.4,0.03610050785414691
TRAIN_2016_2022,NET60,5,HIGH|W+,79,0.0024538446353521795,0.0006523694436639027,0.5063291139240507,0.01797959075472304
TRAIN_2016_2022,NET60,5,HIGH|W-,44,0.0010210886326730423,0.003917633417823757,0.5454545454545454,0.03124995260547214
TRAIN_2016_2022,NET60,5,NON_HIGH,174,0.0022251050945729343,0.005561802608725764,0.5804597701149425,0.023927709357496753
TRAIN_2016_2022,NET60,5,,2,-0.033890839457631085,-0.033890839457631085,0.0,0.033890839457631085
TRAIN_2016_2022,NET60,10,HIGH|N+,12,-0.000117012946729208,0.003721821896694011,0.6666666666666666,0.0199717695048428
TRAIN_2016_2022,NET60,10,HIGH|N-,23,-0.001985332572645886,0.02348321032195757,0.6521739130434783,0.050231355748198266
TRAIN_2016_2022,NET60,10,HIGH|R+,2,0.04172381684995198,0.04172381684995198,1.0,0.04172381684995198
TRAIN_2016_2022,NET60,10,HIGH|R-,5,-0.008405098261186109,-0.007444077550790873,0.4,0.028930254828599917
TRAIN_2016_2022,NET60,10,HIGH|W+,79,0.0034949613779133577,0.00449548647802811,0.5189873417721519,0.026887653597391627
TRAIN_2016_2022,NET60,10,HIGH|W-,44,0.004861394503315145,0.011601150522255022,0.6363636363636364,0.03620591110790099
TRAIN_2016_2022,NET60,10,NON_HIGH,174,0.0052022753616416915,0.010389649016886354,0.5977011494252874,0.03692202137619462
TRAIN_2016_2022,NET60,10,,2,-0.028769313290664865,-0.028769313290664865,0.5,0.038766533530556486
TRAIN_2016_2022,NET60,20,HIGH|N+,12,-0.011404626450488843,-0.010165822600741036,0.4166666666666667,0.02857036137088365
TRAIN_2016_2022,NET60,20,HIGH|N-,23,0.01209718935441395,0.030440550846442503,0.7391304347826086,0.05845330608746147
TRAIN_2016_2022,NET60,20,HIGH|R+,2,-0.04545453092340856,-0.04545453092340856,0.0,0.04545453092340856
TRAIN_2016_2022,NET60,20,HIGH|R-,5,0.016173390180644336,0.01763077622936208,0.8,0.03608286614511419
TRAIN_2016_2022,NET60,20,HIGH|W+,79,0.004618909251605228,0.010652175460578395,0.5569620253164557,0.04435380412543231
TRAIN_2016_2022,NET60,20,HIGH|W-,44,-0.008202680212636461,-0.009481548699444387,0.4772727272727273,0.05835027056422522
TRAIN_2016_2022,NET60,20,NON_HIGH,174,0.01588641373781131,0.01979864324936561,0.6149425287356322,0.05517206148310419
