date,sample,return_type,horizon,factor_breadth_20d,breadth_bin,breadth_group,breadth_transition,breadth_delta,base_state,factor_substate,REVISION_state,high_base_cell,high_revision_cell,high_factor_substate_cell,fwd_mean_across_phases,fwd_median_across_phases
2016-04-25,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.0231708014156096,-0.024280333891939954
2016-05-02,TRAIN_2016_2022,GROSS,5,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.023175111063475563,0.02240283538049548
2016-05-02,TRAIN_2016_2022,GROSS,10,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.014856994040715398,0.014653494794742206
2016-05-02,TRAIN_2016_2022,GROSS,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.009609926490989785,0.012501813629875014
2016-05-02,TRAIN_2016_2022,NET30,5,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.022270859325685156,0.021467108324928597
2016-05-02,TRAIN_2016_2022,NET30,10,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.012996318563455744,0.012722106165096947
2016-05-02,TRAIN_2016_2022,NET30,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.006194802908446262,0.0088980961774765
2016-05-02,TRAIN_2016_2022,NET60,5,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.021366607587894614,0.020506157434903582
2016-05-02,TRAIN_2016_2022,NET60,10,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.011135643086195846,0.010790717535451577
2016-05-02,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,N+,HIGH|B4,HIGH|N+,HIGH|F_HIGH,0.002785403797954633,0.00530073537967185
2016-05-11,TRAIN_2016_2022,GROSS,5,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W+,HIGH|B3,HIGH|W+,HIGH|F_LOW,-0.00813751567829465,-0.010357616368981637
2016-05-11,TRAIN_2016_2022,GROSS,10,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W+,HIGH|B3,HIGH|W+,HIGH|F_LOW,-0.014234300253325272,-0.01694714486885568
2016-05-11,TRAIN_2016_2022,GROSS,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W+,HIGH|B3,HIGH|W+,HIGH|F_LOW,-0.013988192553923117,-0.018914059783126547
2016-05-11,TRAIN_2016_2022,NET30,5,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W+,HIGH|B3,HIGH|W+,HIGH|F_LOW,-0.009080373034407941,-0.011151851406290936
2016-05-11,TRAIN_2016_2022,NET30,10,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W+,HIGH|B3,HIGH|W+,HIGH|F_LOW,-0.01602460646016678,-0.018736148924115015
