universe,factor,family,overlay,sample,n,ann_return,sharpe,mdd,hit_rate,avg_turnover,mean_delta_vs_base,beat_base_rate,median_delta_vs_base
KOSDAQ,PBR12MF,VALUE,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.084025301510401,-0.1455310226446565,-0.45606133739140287,0.4791666666666667,0.6395833333333333,0.0017542231884476657,0.5416666666666666,0.006393074842657924
KOSDAQ,PBR12MF,VALUE,FOUR_FAMILY_EW,YTD_2026,13,-0.26584087082364616,-0.18293159384350158,-0.43010359924641584,0.5384615384615384,0.6769230769230768,-0.0001740144246345915,0.46153846153846156,-0.0280954173997222
KOSDAQ,PBR12MF,VALUE,SIBLING_W20,BULL_2025,25,0.35074896017340373,1.688235022603845,-0.05488038423055008,0.56,0.152,0.0009742369091435501,0.44,-0.0013854378656021678
KOSDAQ,PBR12MF,VALUE,SIBLING_W20,EARLY_2016_2019,98,-0.0025743100246107264,0.08543290352698552,-0.3011160932122746,0.47959183673469385,0.16734693877551018,0.0002590744339119694,0.47959183673469385,-0.00039187396412870487
KOSDAQ,PBR12MF,VALUE,SIBLING_W20,LATE_2020_2022,75,0.13107881893413764,0.592757066029496,-0.3174268668049157,0.6133333333333333,0.176,0.0005701113185642484,0.52,0.0013447506296129993
KOSDAQ,PBR12MF,VALUE,SIBLING_W20,NORMAL_2023_2024,48,-0.055824832455568685,-0.30115364883927087,-0.202442247295875,0.5416666666666666,0.14583333333333334,0.0016551934910988355,0.5416666666666666,0.0005893244274839879
KOSDAQ,PBR12MF,VALUE,SIBLING_W20,YTD_2026,13,-0.2163822371252716,-0.557963916878666,-0.27773923224780606,0.46153846153846156,0.18461538461538465,-0.0030928642967928987,0.46153846153846156,-0.00763884611933123
KOSDAQ,PER12MF,VALUE,BASE,BULL_2025,25,0.40137006772236106,1.698350212635195,-0.08273257591741057,0.6,0.17800000000000002,0.0,0.0,0.0
KOSDAQ,PER12MF,VALUE,BASE,EARLY_2016_2019,98,-0.03406468612982949,-0.03949024600500636,-0.38211038205868664,0.5,0.18163265306122445,0.0,0.0,0.0
KOSDAQ,PER12MF,VALUE,BASE,LATE_2020_2022,75,0.11109969140700393,0.5006814461676531,-0.3577548765686346,0.5733333333333334,0.20266666666666666,0.0,0.0,0.0
KOSDAQ,PER12MF,VALUE,BASE,NORMAL_2023_2024,48,-0.07376444840905771,-0.39486912600953883,-0.25015391481810967,0.4583333333333333,0.1625,0.0,0.0,0.0
KOSDAQ,PER12MF,VALUE,BASE,YTD_2026,13,-0.2076297097485884,-0.43963509067332646,-0.3049408691292105,0.46153846153846156,0.2653846153846154,0.0,0.0,0.0
KOSDAQ,PER12MF,VALUE,CROSS_FAMILY_W10,BULL_2025,25,0.37722270573456895,1.685025035695201,-0.07993116865349614,0.6,0.19599999999999998,-0.0007743158698637711,0.4,-0.00014999999999999736
KOSDAQ,PER12MF,VALUE,CROSS_FAMILY_W10,EARLY_2016_2019,98,-0.023699920642883843,0.005793447421363671,-0.35377719368779803,0.5,0.18163265306122445,0.0004073887475177835,0.4387755102040816,0.0
KOSDAQ,PER12MF,VALUE,CROSS_FAMILY_W10,LATE_2020_2022,75,0.12946472919165108,0.5550250400095401,-0.34116651996119784,0.6,0.2093333333333333,0.0006389907242176211,0.52,6.938893903907228e-18
KOSDAQ,PER12MF,VALUE,CROSS_FAMILY_W10,NORMAL_2023_2024,48,-0.08796184657164541,-0.49150329215486765,-0.27732540965313834,0.4791666666666667,0.1625,-0.000612600580349897,0.3541666666666667,-1.734723475976807e-18
KOSDAQ,PER12MF,VALUE,CROSS_FAMILY_W10,YTD_2026,13,-0.22163566482904007,-0.45871534552577786,-0.31710261896131164,0.46153846153846156,0.2653846153846154,-0.0005262844555232397,0.3076923076923077,-0.0015941363315052082
KOSDAQ,PER12MF,VALUE,CROSS_FAMILY_W20,BULL_2025,25,0.39101471861248394,1.7234975207044099,-0.07425373600075413,0.52,0.20200000000000004,-0.0003624052190420195,0.36,-0.0011089458864853713
